"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 10","3 wk ahead","Bin","percent","5.0","5.1",0
"HHS Region 10","3 wk ahead","Bin","percent","5.1","5.2",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","5.2","5.3",0
"HHS Region 10","3 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","5.4","5.5",0
"HHS Region 10","3 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 10","3 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 10","3 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 10","3 wk ahead","Bin","percent","5.9","6.0",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 10","3 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 10","3 wk ahead","Bin","percent","6.2","6.3",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","6.3","6.4",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 10","3 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","6.6","6.7",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","6.9","7.0",2e-04
"HHS Region 10","3 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 10","3 wk ahead","Bin","percent","7.1","7.2",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","7.2","7.3",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 10","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 10","3 wk ahead","Bin","percent","7.5","7.6",2e-04
"HHS Region 10","3 wk ahead","Bin","percent","7.6","7.7",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","7.8","7.9",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","7.9","8.0",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","8.0","8.1",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 10","3 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 10","3 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 10","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 10","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 10","3 wk ahead","Bin","percent","8.6","8.7",2e-04
"HHS Region 10","3 wk ahead","Bin","percent","8.7","8.8",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","8.8","8.9",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 10","3 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 10","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 10","3 wk ahead","Bin","percent","9.2","9.3",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 10","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 10","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 10","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 10","3 wk ahead","Bin","percent","9.7","9.8",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","9.8","9.9",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 10","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 10","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 10","3 wk ahead","Bin","percent","10.3","10.4",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 10","3 wk ahead","Bin","percent","10.5","10.6",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","10.6","10.7",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","10.7","10.8",2e-04
"HHS Region 10","3 wk ahead","Bin","percent","10.8","10.9",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","10.9","11.0",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 10","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 10","3 wk ahead","Bin","percent","11.2","11.3",2e-04
"HHS Region 10","3 wk ahead","Bin","percent","11.3","11.4",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","11.4","11.5",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","11.5","11.6",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 10","3 wk ahead","Bin","percent","11.7","11.8",2e-04
"HHS Region 10","3 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 10","3 wk ahead","Bin","percent","11.9","12.0",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 10","3 wk ahead","Bin","percent","12.1","12.2",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 10","3 wk ahead","Bin","percent","12.3","12.4",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 10","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 10","3 wk ahead","Bin","percent","12.6","12.7",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","12.7","12.8",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","12.8","12.9",1e-04
"HHS Region 10","3 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 10","3 wk ahead","Bin","percent","13.0","100.0",1e-04
"HHS Region 10","4 wk ahead","Point","percent",NA,NA,0.8
"HHS Region 10","4 wk ahead","Bin","percent","0.0","0.1",0.0051
"HHS Region 10","4 wk ahead","Bin","percent","0.1","0.2",0.01
"HHS Region 10","4 wk ahead","Bin","percent","0.2","0.3",0.0275
"HHS Region 10","4 wk ahead","Bin","percent","0.3","0.4",0.0494
"HHS Region 10","4 wk ahead","Bin","percent","0.4","0.5",0.0799
"HHS Region 10","4 wk ahead","Bin","percent","0.5","0.6",0.091
"HHS Region 10","4 wk ahead","Bin","percent","0.6","0.7",0.1089
"HHS Region 10","4 wk ahead","Bin","percent","0.7","0.8",0.1091
"HHS Region 10","4 wk ahead","Bin","percent","0.8","0.9",0.0951
"HHS Region 10","4 wk ahead","Bin","percent","0.9","1.0",0.0899
"HHS Region 10","4 wk ahead","Bin","percent","1.0","1.1",0.0774
"HHS Region 10","4 wk ahead","Bin","percent","1.1","1.2",0.0621
"HHS Region 10","4 wk ahead","Bin","percent","1.2","1.3",0.0518
"HHS Region 10","4 wk ahead","Bin","percent","1.3","1.4",0.0432
"HHS Region 10","4 wk ahead","Bin","percent","1.4","1.5",0.027
"HHS Region 10","4 wk ahead","Bin","percent","1.5","1.6",0.021
"HHS Region 10","4 wk ahead","Bin","percent","1.6","1.7",0.0158
"HHS Region 10","4 wk ahead","Bin","percent","1.7","1.8",0.0092
"HHS Region 10","4 wk ahead","Bin","percent","1.8","1.9",0.0062
"HHS Region 10","4 wk ahead","Bin","percent","1.9","2.0",0.003
"HHS Region 10","4 wk ahead","Bin","percent","2.0","2.1",0.0041
"HHS Region 10","4 wk ahead","Bin","percent","2.1","2.2",0.003
"HHS Region 10","4 wk ahead","Bin","percent","2.2","2.3",9e-04
"HHS Region 10","4 wk ahead","Bin","percent","2.3","2.4",0.0015
"HHS Region 10","4 wk ahead","Bin","percent","2.4","2.5",7e-04
"HHS Region 10","4 wk ahead","Bin","percent","2.5","2.6",6e-04
"HHS Region 10","4 wk ahead","Bin","percent","2.6","2.7",6e-04
"HHS Region 10","4 wk ahead","Bin","percent","2.7","2.8",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","2.8","2.9",4e-04
"HHS Region 10","4 wk ahead","Bin","percent","2.9","3.0",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","3.0","3.1",0
"HHS Region 10","4 wk ahead","Bin","percent","3.1","3.2",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","3.2","3.3",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","3.3","3.4",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","3.4","3.5",3e-04
"HHS Region 10","4 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 10","4 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 10","4 wk ahead","Bin","percent","3.7","3.8",0
"HHS Region 10","4 wk ahead","Bin","percent","3.8","3.9",3e-04
"HHS Region 10","4 wk ahead","Bin","percent","3.9","4.0",0
"HHS Region 10","4 wk ahead","Bin","percent","4.0","4.1",0
"HHS Region 10","4 wk ahead","Bin","percent","4.1","4.2",0
"HHS Region 10","4 wk ahead","Bin","percent","4.2","4.3",0
"HHS Region 10","4 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 10","4 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 10","4 wk ahead","Bin","percent","4.5","4.6",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 10","4 wk ahead","Bin","percent","4.7","4.8",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 10","4 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 10","4 wk ahead","Bin","percent","5.0","5.1",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","5.1","5.2",0
"HHS Region 10","4 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","5.3","5.4",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","5.4","5.5",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 10","4 wk ahead","Bin","percent","5.6","5.7",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","5.7","5.8",0
"HHS Region 10","4 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 10","4 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 10","4 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 10","4 wk ahead","Bin","percent","6.1","6.2",0
"HHS Region 10","4 wk ahead","Bin","percent","6.2","6.3",3e-04
"HHS Region 10","4 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 10","4 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 10","4 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 10","4 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 10","4 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 10","4 wk ahead","Bin","percent","6.8","6.9",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 10","4 wk ahead","Bin","percent","7.0","7.1",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 10","4 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 10","4 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 10","4 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 10","4 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 10","4 wk ahead","Bin","percent","7.6","7.7",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","7.7","7.8",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 10","4 wk ahead","Bin","percent","7.9","8.0",0
"HHS Region 10","4 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 10","4 wk ahead","Bin","percent","8.1","8.2",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 10","4 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 10","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 10","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 10","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 10","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 10","4 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 10","4 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 10","4 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 10","4 wk ahead","Bin","percent","9.3","9.4",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 10","4 wk ahead","Bin","percent","9.5","9.6",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 10","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 10","4 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 10","4 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 10","4 wk ahead","Bin","percent","10.1","10.2",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 10","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 10","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 10","4 wk ahead","Bin","percent","10.5","10.6",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","10.6","10.7",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 10","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 10","4 wk ahead","Bin","percent","10.9","11.0",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","11.0","11.1",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","11.1","11.2",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 10","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 10","4 wk ahead","Bin","percent","11.4","11.5",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 10","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 10","4 wk ahead","Bin","percent","11.7","11.8",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 10","4 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 10","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 10","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 10","4 wk ahead","Bin","percent","12.2","12.3",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 10","4 wk ahead","Bin","percent","12.4","12.5",1e-04
"HHS Region 10","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 10","4 wk ahead","Bin","percent","12.6","12.7",2e-04
"HHS Region 10","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 10","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 10","4 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 10","4 wk ahead","Bin","percent","13.0","100.0",1e-04
"HHS Region 2","1 wk ahead","Point","percent",NA,NA,2.6
"HHS Region 2","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 2","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 2","1 wk ahead","Bin","percent","0.2","0.3",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 2","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 2","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 2","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 2","1 wk ahead","Bin","percent","0.7","0.8",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","0.8","0.9",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","0.9","1.0",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 2","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 2","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 2","1 wk ahead","Bin","percent","1.3","1.4",0
"HHS Region 2","1 wk ahead","Bin","percent","1.4","1.5",0
"HHS Region 2","1 wk ahead","Bin","percent","1.5","1.6",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","1.6","1.7",8e-04
"HHS Region 2","1 wk ahead","Bin","percent","1.7","1.8",0.0024
"HHS Region 2","1 wk ahead","Bin","percent","1.8","1.9",0.0065
"HHS Region 2","1 wk ahead","Bin","percent","1.9","2.0",0.0144
"HHS Region 2","1 wk ahead","Bin","percent","2.0","2.1",0.0269
"HHS Region 2","1 wk ahead","Bin","percent","2.1","2.2",0.0364
"HHS Region 2","1 wk ahead","Bin","percent","2.2","2.3",0.0603
"HHS Region 2","1 wk ahead","Bin","percent","2.3","2.4",0.0798
"HHS Region 2","1 wk ahead","Bin","percent","2.4","2.5",0.0864
"HHS Region 2","1 wk ahead","Bin","percent","2.5","2.6",0.101
"HHS Region 2","1 wk ahead","Bin","percent","2.6","2.7",0.1063
"HHS Region 2","1 wk ahead","Bin","percent","2.7","2.8",0.0966
"HHS Region 2","1 wk ahead","Bin","percent","2.8","2.9",0.0902
"HHS Region 2","1 wk ahead","Bin","percent","2.9","3.0",0.0775
"HHS Region 2","1 wk ahead","Bin","percent","3.0","3.1",0.0608
"HHS Region 2","1 wk ahead","Bin","percent","3.1","3.2",0.0438
"HHS Region 2","1 wk ahead","Bin","percent","3.2","3.3",0.0314
"HHS Region 2","1 wk ahead","Bin","percent","3.3","3.4",0.0237
"HHS Region 2","1 wk ahead","Bin","percent","3.4","3.5",0.0166
"HHS Region 2","1 wk ahead","Bin","percent","3.5","3.6",0.0107
"HHS Region 2","1 wk ahead","Bin","percent","3.6","3.7",0.0073
"HHS Region 2","1 wk ahead","Bin","percent","3.7","3.8",0.0054
"HHS Region 2","1 wk ahead","Bin","percent","3.8","3.9",0.0032
"HHS Region 2","1 wk ahead","Bin","percent","3.9","4.0",0.0031
"HHS Region 2","1 wk ahead","Bin","percent","4.0","4.1",0.0012
"HHS Region 2","1 wk ahead","Bin","percent","4.1","4.2",5e-04
"HHS Region 2","1 wk ahead","Bin","percent","4.2","4.3",4e-04
"HHS Region 2","1 wk ahead","Bin","percent","4.3","4.4",0
"HHS Region 2","1 wk ahead","Bin","percent","4.4","4.5",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","4.5","4.6",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 2","1 wk ahead","Bin","percent","4.7","4.8",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 2","1 wk ahead","Bin","percent","4.9","5.0",0
"HHS Region 2","1 wk ahead","Bin","percent","5.0","5.1",0
"HHS Region 2","1 wk ahead","Bin","percent","5.1","5.2",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 2","1 wk ahead","Bin","percent","5.4","5.5",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 2","1 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 2","1 wk ahead","Bin","percent","5.7","5.8",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 2","1 wk ahead","Bin","percent","5.9","6.0",0
"HHS Region 2","1 wk ahead","Bin","percent","6.0","6.1",0
"HHS Region 2","1 wk ahead","Bin","percent","6.1","6.2",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","6.2","6.3",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","6.3","6.4",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 2","1 wk ahead","Bin","percent","6.5","6.6",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","6.6","6.7",0
"HHS Region 2","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 2","1 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","6.9","7.0",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 2","1 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 2","1 wk ahead","Bin","percent","7.2","7.3",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 2","1 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 2","1 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 2","1 wk ahead","Bin","percent","7.6","7.7",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","7.8","7.9",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","7.9","8.0",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.0","8.1",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 2","1 wk ahead","Bin","percent","8.2","8.3",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.3","8.4",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 2","1 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 2","1 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 2","1 wk ahead","Bin","percent","8.8","8.9",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 2","1 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 2","1 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 2","1 wk ahead","Bin","percent","9.3","9.4",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.4","9.5",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 2","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 2","1 wk ahead","Bin","percent","9.7","9.8",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 2","1 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 2","1 wk ahead","Bin","percent","10.1","10.2",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 2","1 wk ahead","Bin","percent","10.3","10.4",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 2","1 wk ahead","Bin","percent","10.5","10.6",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 2","1 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 2","1 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 2","1 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 2","1 wk ahead","Bin","percent","11.0","11.1",3e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.1","11.2",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.2","11.3",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.3","11.4",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 2","1 wk ahead","Bin","percent","11.5","11.6",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.6","11.7",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 2","1 wk ahead","Bin","percent","11.9","12.0",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 2","1 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 2","1 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 2","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 2","1 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 2","1 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 2","1 wk ahead","Bin","percent","12.6","12.7",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 2","1 wk ahead","Bin","percent","12.8","12.9",1e-04
"HHS Region 2","1 wk ahead","Bin","percent","12.9","13.0",2e-04
"HHS Region 2","1 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 2","2 wk ahead","Point","percent",NA,NA,2.1
"HHS Region 2","2 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 2","2 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 2","2 wk ahead","Bin","percent","0.2","0.3",1e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.3","0.4",1e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.4","0.5",2e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.5","0.6",4e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.6","0.7",8e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.7","0.8",9e-04
"HHS Region 2","2 wk ahead","Bin","percent","0.8","0.9",0.0041
"HHS Region 2","2 wk ahead","Bin","percent","0.9","1.0",0.0056
"HHS Region 2","2 wk ahead","Bin","percent","1.0","1.1",0.0097
"HHS Region 2","2 wk ahead","Bin","percent","1.1","1.2",0.0151
"HHS Region 2","2 wk ahead","Bin","percent","1.2","1.3",0.019
"HHS Region 2","2 wk ahead","Bin","percent","1.3","1.4",0.0268
"HHS Region 2","2 wk ahead","Bin","percent","1.4","1.5",0.0322
"HHS Region 2","2 wk ahead","Bin","percent","1.5","1.6",0.0399
"HHS Region 2","2 wk ahead","Bin","percent","1.6","1.7",0.0478
"HHS Region 2","2 wk ahead","Bin","percent","1.7","1.8",0.0553
"HHS Region 2","2 wk ahead","Bin","percent","1.8","1.9",0.0637
"HHS Region 2","2 wk ahead","Bin","percent","1.9","2.0",0.0597
"HHS Region 2","2 wk ahead","Bin","percent","2.0","2.1",0.0655
"HHS Region 2","2 wk ahead","Bin","percent","2.1","2.2",0.0676
"HHS Region 2","2 wk ahead","Bin","percent","2.2","2.3",0.0606
"HHS Region 2","2 wk ahead","Bin","percent","2.3","2.4",0.0582
"HHS Region 2","2 wk ahead","Bin","percent","2.4","2.5",0.0563
"HHS Region 2","2 wk ahead","Bin","percent","2.5","2.6",0.048
"HHS Region 2","2 wk ahead","Bin","percent","2.6","2.7",0.0457
"HHS Region 2","2 wk ahead","Bin","percent","2.7","2.8",0.0369
"HHS Region 2","2 wk ahead","Bin","percent","2.8","2.9",0.0323
"HHS Region 2","2 wk ahead","Bin","percent","2.9","3.0",0.0281
"HHS Region 2","2 wk ahead","Bin","percent","3.0","3.1",0.0192
"HHS Region 2","2 wk ahead","Bin","percent","3.1","3.2",0.0208
"HHS Region 2","2 wk ahead","Bin","percent","3.2","3.3",0.0154
"HHS Region 2","2 wk ahead","Bin","percent","3.3","3.4",0.0109
"HHS Region 2","2 wk ahead","Bin","percent","3.4","3.5",0.0125
"HHS Region 2","2 wk ahead","Bin","percent","3.5","3.6",0.0092
"HHS Region 2","2 wk ahead","Bin","percent","3.6","3.7",0.0075
"HHS Region 2","2 wk ahead","Bin","percent","3.7","3.8",0.0056
"HHS Region 2","2 wk ahead","Bin","percent","3.8","3.9",0.0042
"HHS Region 2","2 wk ahead","Bin","percent","3.9","4.0",0.0029
"HHS Region 2","2 wk ahead","Bin","percent","4.0","4.1",0.0019
"HHS Region 2","2 wk ahead","Bin","percent","4.1","4.2",7e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.2","4.3",0.0012
"HHS Region 2","2 wk ahead","Bin","percent","4.3","4.4",2e-04
"HHS Region 2","2 wk ahead","Bin","percent","4.4","4.5",5e-04
