"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 4","3 wk ahead","Bin","percent","3.3","3.4",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","3.4","3.5",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","3.5","3.6",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","3.6","3.7",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","3.7","3.8",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","3.8","3.9",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","3.9","4.0",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","4.0","4.1",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","4.1","4.2",0.001
"HHS Region 4","3 wk ahead","Bin","percent","4.2","4.3",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","4.3","4.4",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","4.4","4.5",0.0016
"HHS Region 4","3 wk ahead","Bin","percent","4.5","4.6",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","4.6","4.7",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","4.7","4.8",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","4.8","4.9",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","4.9","5.0",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.0","5.1",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.1","5.2",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.2","5.3",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.3","5.4",4e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.4","5.5",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.5","5.6",0.0011
"HHS Region 4","3 wk ahead","Bin","percent","5.6","5.7",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.7","5.8",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","5.8","5.9",0.0011
"HHS Region 4","3 wk ahead","Bin","percent","5.9","6.0",0.001
"HHS Region 4","3 wk ahead","Bin","percent","6.0","6.1",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.1","6.2",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.2","6.3",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.3","6.4",0.0013
"HHS Region 4","3 wk ahead","Bin","percent","6.4","6.5",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.5","6.6",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.6","6.7",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.7","6.8",4e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.8","6.9",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","6.9","7.0",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.0","7.1",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.1","7.2",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.2","7.3",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.3","7.4",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.4","7.5",4e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.5","7.6",0.001
"HHS Region 4","3 wk ahead","Bin","percent","7.6","7.7",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.7","7.8",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.8","7.9",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","7.9","8.0",4e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.0","8.1",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.1","8.2",0.0011
"HHS Region 4","3 wk ahead","Bin","percent","8.2","8.3",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.3","8.4",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.4","8.5",0.001
"HHS Region 4","3 wk ahead","Bin","percent","8.5","8.6",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","8.6","8.7",0.001
"HHS Region 4","3 wk ahead","Bin","percent","8.7","8.8",0.0011
"HHS Region 4","3 wk ahead","Bin","percent","8.8","8.9",0.001
"HHS Region 4","3 wk ahead","Bin","percent","8.9","9.0",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.0","9.1",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.1","9.2",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.2","9.3",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.3","9.4",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.4","9.5",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.5","9.6",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.6","9.7",0.0014
"HHS Region 4","3 wk ahead","Bin","percent","9.7","9.8",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","9.8","9.9",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","9.9","10.0",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.0","10.1",0.0011
"HHS Region 4","3 wk ahead","Bin","percent","10.1","10.2",0.0013
"HHS Region 4","3 wk ahead","Bin","percent","10.2","10.3",4e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.3","10.4",9e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.4","10.5",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.5","10.6",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.6","10.7",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.7","10.8",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.8","10.9",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","10.9","11.0",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","11.0","11.1",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.1","11.2",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.2","11.3",3e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.3","11.4",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.4","11.5",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.5","11.6",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.6","11.7",0.001
"HHS Region 4","3 wk ahead","Bin","percent","11.7","11.8",8e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.8","11.9",2e-04
"HHS Region 4","3 wk ahead","Bin","percent","11.9","12.0",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","12.0","12.1",0.0014
"HHS Region 4","3 wk ahead","Bin","percent","12.1","12.2",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","12.2","12.3",0.0011
"HHS Region 4","3 wk ahead","Bin","percent","12.3","12.4",6e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.4","12.5",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.5","12.6",0.0012
"HHS Region 4","3 wk ahead","Bin","percent","12.6","12.7",5e-04
"HHS Region 4","3 wk ahead","Bin","percent","12.7","12.8",0.001
"HHS Region 4","3 wk ahead","Bin","percent","12.8","12.9",0.001
"HHS Region 4","3 wk ahead","Bin","percent","12.9","13.0",7e-04
"HHS Region 4","3 wk ahead","Bin","percent","13.0","100.0",0.0011
"HHS Region 4","4 wk ahead","Point","percent",NA,NA,1.4
"HHS Region 4","4 wk ahead","Bin","percent","0.0","0.1",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.1","0.2",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.2","0.3",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.3","0.4",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","0.4","0.5",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.5","0.6",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","0.6","0.7",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","0.7","0.8",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","0.8","0.9",0.0014
"HHS Region 4","4 wk ahead","Bin","percent","0.9","1.0",0.0018
"HHS Region 4","4 wk ahead","Bin","percent","1.0","1.1",0.0153
"HHS Region 4","4 wk ahead","Bin","percent","1.1","1.2",0.0387
"HHS Region 4","4 wk ahead","Bin","percent","1.2","1.3",0.0993
"HHS Region 4","4 wk ahead","Bin","percent","1.3","1.4",0.2242
"HHS Region 4","4 wk ahead","Bin","percent","1.4","1.5",0.225
"HHS Region 4","4 wk ahead","Bin","percent","1.5","1.6",0.1427
"HHS Region 4","4 wk ahead","Bin","percent","1.6","1.7",0.0823
"HHS Region 4","4 wk ahead","Bin","percent","1.7","1.8",0.0398
"HHS Region 4","4 wk ahead","Bin","percent","1.8","1.9",0.0206
"HHS Region 4","4 wk ahead","Bin","percent","1.9","2.0",0.0063
"HHS Region 4","4 wk ahead","Bin","percent","2.0","2.1",0.0045
"HHS Region 4","4 wk ahead","Bin","percent","2.1","2.2",0.0024
"HHS Region 4","4 wk ahead","Bin","percent","2.2","2.3",0.0015
"HHS Region 4","4 wk ahead","Bin","percent","2.3","2.4",0.0015
"HHS Region 4","4 wk ahead","Bin","percent","2.4","2.5",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","2.5","2.6",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","2.6","2.7",0.002
"HHS Region 4","4 wk ahead","Bin","percent","2.7","2.8",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","2.8","2.9",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","2.9","3.0",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","3.0","3.1",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","3.1","3.2",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","3.2","3.3",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","3.3","3.4",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","3.4","3.5",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","3.5","3.6",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","3.6","3.7",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","3.7","3.8",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","3.8","3.9",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","3.9","4.0",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.0","4.1",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","4.1","4.2",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.2","4.3",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.3","4.4",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.4","4.5",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.5","4.6",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.6","4.7",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","4.7","4.8",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.8","4.9",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","4.9","5.0",0.001
"HHS Region 4","4 wk ahead","Bin","percent","5.0","5.1",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.1","5.2",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","5.2","5.3",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.3","5.4",0.001
"HHS Region 4","4 wk ahead","Bin","percent","5.4","5.5",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.5","5.6",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.6","5.7",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","5.7","5.8",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","5.8","5.9",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","5.9","6.0",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.0","6.1",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.1","6.2",0.001
"HHS Region 4","4 wk ahead","Bin","percent","6.2","6.3",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.3","6.4",0.0014
"HHS Region 4","4 wk ahead","Bin","percent","6.4","6.5",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.5","6.6",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.6","6.7",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.7","6.8",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.8","6.9",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","6.9","7.0",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.0","7.1",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.1","7.2",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.2","7.3",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.3","7.4",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.4","7.5",0.0013
"HHS Region 4","4 wk ahead","Bin","percent","7.5","7.6",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","7.6","7.7",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.7","7.8",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.8","7.9",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.9","8.0",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.0","8.1",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","8.1","8.2",0.0013
"HHS Region 4","4 wk ahead","Bin","percent","8.2","8.3",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.3","8.4",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","8.4","8.5",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.5","8.6",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.6","8.7",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.7","8.8",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.8","8.9",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.9","9.0",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.0","9.1",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.1","9.2",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.2","9.3",0.0015
"HHS Region 4","4 wk ahead","Bin","percent","9.3","9.4",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.4","9.5",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.5","9.6",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","9.6","9.7",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.7","9.8",0.0013
"HHS Region 4","4 wk ahead","Bin","percent","9.8","9.9",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.9","10.0",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.0","10.1",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.1","10.2",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.2","10.3",0.001
"HHS Region 4","4 wk ahead","Bin","percent","10.3","10.4",0.0011
"HHS Region 4","4 wk ahead","Bin","percent","10.4","10.5",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.5","10.6",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.6","10.7",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.7","10.8",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.8","10.9",0.001
"HHS Region 4","4 wk ahead","Bin","percent","10.9","11.0",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.0","11.1",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.1","11.2",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.2","11.3",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","11.3","11.4",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","11.4","11.5",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.5","11.6",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.6","11.7",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.7","11.8",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.8","11.9",0.0012
"HHS Region 4","4 wk ahead","Bin","percent","11.9","12.0",0.001
"HHS Region 4","4 wk ahead","Bin","percent","12.0","12.1",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.1","12.2",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.2","12.3",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.3","12.4",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.4","12.5",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.5","12.6",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.6","12.7",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.7","12.8",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.8","12.9",0.001
"HHS Region 4","4 wk ahead","Bin","percent","12.9","13.0",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","13.0","100.0",0.0014
"HHS Region 5","1 wk ahead","Point","percent",NA,NA,1.3
"HHS Region 5","1 wk ahead","Bin","percent","0.0","0.1",0.001
"HHS Region 5","1 wk ahead","Bin","percent","0.1","0.2",0.001
"HHS Region 5","1 wk ahead","Bin","percent","0.2","0.3",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.3","0.4",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","0.4","0.5",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","0.5","0.6",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","0.6","0.7",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.7","0.8",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.8","0.9",0.0028
"HHS Region 5","1 wk ahead","Bin","percent","0.9","1.0",0.0173
"HHS Region 5","1 wk ahead","Bin","percent","1.0","1.1",0.0266
"HHS Region 5","1 wk ahead","Bin","percent","1.1","1.2",0.1186
"HHS Region 5","1 wk ahead","Bin","percent","1.2","1.3",0.1682
"HHS Region 5","1 wk ahead","Bin","percent","1.3","1.4",0.2312
"HHS Region 5","1 wk ahead","Bin","percent","1.4","1.5",0.1765
"HHS Region 5","1 wk ahead","Bin","percent","1.5","1.6",0.0814
"HHS Region 5","1 wk ahead","Bin","percent","1.6","1.7",0.0463
"HHS Region 5","1 wk ahead","Bin","percent","1.7","1.8",0.0172
"HHS Region 5","1 wk ahead","Bin","percent","1.8","1.9",0.0092
"HHS Region 5","1 wk ahead","Bin","percent","1.9","2.0",0.0055
"HHS Region 5","1 wk ahead","Bin","percent","2.0","2.1",0.0035
"HHS Region 5","1 wk ahead","Bin","percent","2.1","2.2",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.2","2.3",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","2.3","2.4",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.4","2.5",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.5","2.6",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.6","2.7",0.0013
"HHS Region 5","1 wk ahead","Bin","percent","2.7","2.8",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.8","2.9",0.001
"HHS Region 5","1 wk ahead","Bin","percent","2.9","3.0",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.0","3.1",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","3.1","3.2",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","3.2","3.3",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.3","3.4",0.0013
"HHS Region 5","1 wk ahead","Bin","percent","3.4","3.5",0.001
"HHS Region 5","1 wk ahead","Bin","percent","3.5","3.6",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.6","3.7",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.7","3.8",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.8","3.9",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","3.9","4.0",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.0","4.1",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.1","4.2",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.2","4.3",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.3","4.4",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.4","4.5",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.5","4.6",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.6","4.7",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.7","4.8",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.8","4.9",0.001
"HHS Region 5","1 wk ahead","Bin","percent","4.9","5.0",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.0","5.1",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.1","5.2",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.2","5.3",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.3","5.4",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.4","5.5",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.5","5.6",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.6","5.7",0.0013
"HHS Region 5","1 wk ahead","Bin","percent","5.7","5.8",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.8","5.9",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.9","6.0",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.0","6.1",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.1","6.2",0.0013
"HHS Region 5","1 wk ahead","Bin","percent","6.2","6.3",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.3","6.4",0.001
"HHS Region 5","1 wk ahead","Bin","percent","6.4","6.5",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.5","6.6",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.6","6.7",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.8","6.9",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.9","7.0",0.001
"HHS Region 5","1 wk ahead","Bin","percent","7.0","7.1",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","7.1","7.2",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.2","7.3",0.0013
"HHS Region 5","1 wk ahead","Bin","percent","7.3","7.4",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.4","7.5",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.5","7.6",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.6","7.7",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.7","7.8",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.8","7.9",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.9","8.0",0.001
"HHS Region 5","1 wk ahead","Bin","percent","8.0","8.1",0.0013
"HHS Region 5","1 wk ahead","Bin","percent","8.1","8.2",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.2","8.3",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","8.3","8.4",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","8.4","8.5",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","8.5","8.6",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","8.6","8.7",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.7","8.8",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.8","8.9",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.9","9.0",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.0","9.1",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","9.1","9.2",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.2","9.3",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.3","9.4",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.4","9.5",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.5","9.6",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.6","9.7",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.7","9.8",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","9.8","9.9",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.9","10.0",0.001
"HHS Region 5","1 wk ahead","Bin","percent","10.0","10.1",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.1","10.2",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.2","10.3",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","10.3","10.4",0.001
"HHS Region 5","1 wk ahead","Bin","percent","10.4","10.5",0.0013
"HHS Region 5","1 wk ahead","Bin","percent","10.5","10.6",0.0012
"HHS Region 5","1 wk ahead","Bin","percent","10.6","10.7",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.7","10.8",0.0018
"HHS Region 5","1 wk ahead","Bin","percent","10.8","10.9",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.9","11.0",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.0","11.1",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.1","11.2",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.2","11.3",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","11.3","11.4",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.4","11.5",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.5","11.6",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.6","11.7",0.001
"HHS Region 5","1 wk ahead","Bin","percent","11.7","11.8",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.8","11.9",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.9","12.0",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.0","12.1",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.1","12.2",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.2","12.3",0.001
"HHS Region 5","1 wk ahead","Bin","percent","12.3","12.4",0.001
"HHS Region 5","1 wk ahead","Bin","percent","12.4","12.5",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.5","12.6",0.001
"HHS Region 5","1 wk ahead","Bin","percent","12.6","12.7",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.7","12.8",0.001
"HHS Region 5","1 wk ahead","Bin","percent","12.8","12.9",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.9","13.0",8e-04
"HHS Region 5","1 wk ahead","Bin","percent","13.0","100.0",9e-04
"HHS Region 5","2 wk ahead","Point","percent",NA,NA,1.1
"HHS Region 5","2 wk ahead","Bin","percent","0.0","0.1",6e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.1","0.2",0.0011
"HHS Region 5","2 wk ahead","Bin","percent","0.2","0.3",7e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.3","0.4",0.001
"HHS Region 5","2 wk ahead","Bin","percent","0.4","0.5",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.5","0.6",8e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.6","0.7",0.0028
"HHS Region 5","2 wk ahead","Bin","percent","0.7","0.8",0.0084
"HHS Region 5","2 wk ahead","Bin","percent","0.8","0.9",0.0309
"HHS Region 5","2 wk ahead","Bin","percent","0.9","1.0",0.0822
"HHS Region 5","2 wk ahead","Bin","percent","1.0","1.1",0.1669
"HHS Region 5","2 wk ahead","Bin","percent","1.1","1.2",0.2217
"HHS Region 5","2 wk ahead","Bin","percent","1.2","1.3",0.1807
"HHS Region 5","2 wk ahead","Bin","percent","1.3","1.4",0.0973
"HHS Region 5","2 wk ahead","Bin","percent","1.4","1.5",0.051
