"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 6","2 wk ahead","Bin","percent","3.6","3.7",0.0157
"HHS Region 6","2 wk ahead","Bin","percent","3.7","3.8",0.0124
"HHS Region 6","2 wk ahead","Bin","percent","3.8","3.9",0.011
"HHS Region 6","2 wk ahead","Bin","percent","3.9","4.0",0.0076
"HHS Region 6","2 wk ahead","Bin","percent","4.0","4.1",0.0063
"HHS Region 6","2 wk ahead","Bin","percent","4.1","4.2",0.0067
"HHS Region 6","2 wk ahead","Bin","percent","4.2","4.3",0.006
"HHS Region 6","2 wk ahead","Bin","percent","4.3","4.4",0.0032
"HHS Region 6","2 wk ahead","Bin","percent","4.4","4.5",0.0035
"HHS Region 6","2 wk ahead","Bin","percent","4.5","4.6",0.0019
"HHS Region 6","2 wk ahead","Bin","percent","4.6","4.7",0.0033
"HHS Region 6","2 wk ahead","Bin","percent","4.7","4.8",0.0017
"HHS Region 6","2 wk ahead","Bin","percent","4.8","4.9",0.0018
"HHS Region 6","2 wk ahead","Bin","percent","4.9","5.0",0.0029
"HHS Region 6","2 wk ahead","Bin","percent","5.0","5.1",0.0022
"HHS Region 6","2 wk ahead","Bin","percent","5.1","5.2",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.2","5.3",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.3","5.4",8e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.4","5.5",5e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.5","5.6",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.6","5.7",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.7","5.8",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 6","2 wk ahead","Bin","percent","5.9","6.0",0.0014
"HHS Region 6","2 wk ahead","Bin","percent","6.0","6.1",7e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.1","6.2",0.002
"HHS Region 6","2 wk ahead","Bin","percent","6.2","6.3",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.3","6.4",6e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.4","6.5",6e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.5","6.6",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.6","6.7",5e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.7","6.8",6e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","6.9","7.0",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 6","2 wk ahead","Bin","percent","7.1","7.2",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.2","7.3",5e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 6","2 wk ahead","Bin","percent","7.4","7.5",6e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.5","7.6",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.6","7.7",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","2 wk ahead","Bin","percent","7.9","8.0",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","2 wk ahead","Bin","percent","8.1","8.2",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","8.2","8.3",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","2 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","2 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","2 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","2 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","2 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","2 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","2 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","2 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","2 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","2 wk ahead","Bin","percent","9.4","9.5",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.5","9.6",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.6","9.7",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.7","9.8",2e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.8","9.9",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","9.9","10.0",3e-04
"HHS Region 6","2 wk ahead","Bin","percent","10.0","10.1",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","10.1","10.2",1e-04
"HHS Region 6","2 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","2 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","2 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","2 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","2 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","2 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","2 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","2 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","2 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","2 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","2 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","2 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","2 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","2 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","2 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","2 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","2 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","2 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","2 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","2 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","2 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","2 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","2 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","2 wk ahead","Bin","percent","12.8","12.9",4e-04
"HHS Region 6","2 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","2 wk ahead","Bin","percent","13.0","100.0",0.0021
"HHS Region 6","3 wk ahead","Point","percent",NA,NA,2.5
"HHS Region 6","3 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","3 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","3 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","3 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","3 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","3 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","3 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","3 wk ahead","Bin","percent","0.7","0.8",3e-04
"HHS Region 6","3 wk ahead","Bin","percent","0.8","0.9",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","0.9","1.0",7e-04
"HHS Region 6","3 wk ahead","Bin","percent","1.0","1.1",0.0015
"HHS Region 6","3 wk ahead","Bin","percent","1.1","1.2",0.0015
"HHS Region 6","3 wk ahead","Bin","percent","1.2","1.3",0.0037
"HHS Region 6","3 wk ahead","Bin","percent","1.3","1.4",0.002
"HHS Region 6","3 wk ahead","Bin","percent","1.4","1.5",0.0031
"HHS Region 6","3 wk ahead","Bin","percent","1.5","1.6",0.006
"HHS Region 6","3 wk ahead","Bin","percent","1.6","1.7",0.0084
"HHS Region 6","3 wk ahead","Bin","percent","1.7","1.8",0.017
"HHS Region 6","3 wk ahead","Bin","percent","1.8","1.9",0.0289
"HHS Region 6","3 wk ahead","Bin","percent","1.9","2.0",0.0375
"HHS Region 6","3 wk ahead","Bin","percent","2.0","2.1",0.0577
"HHS Region 6","3 wk ahead","Bin","percent","2.1","2.2",0.0679
"HHS Region 6","3 wk ahead","Bin","percent","2.2","2.3",0.0785
"HHS Region 6","3 wk ahead","Bin","percent","2.3","2.4",0.0832
"HHS Region 6","3 wk ahead","Bin","percent","2.4","2.5",0.0869
"HHS Region 6","3 wk ahead","Bin","percent","2.5","2.6",0.0862
"HHS Region 6","3 wk ahead","Bin","percent","2.6","2.7",0.0669
"HHS Region 6","3 wk ahead","Bin","percent","2.7","2.8",0.0541
"HHS Region 6","3 wk ahead","Bin","percent","2.8","2.9",0.0515
"HHS Region 6","3 wk ahead","Bin","percent","2.9","3.0",0.0362
"HHS Region 6","3 wk ahead","Bin","percent","3.0","3.1",0.0346
"HHS Region 6","3 wk ahead","Bin","percent","3.1","3.2",0.0257
"HHS Region 6","3 wk ahead","Bin","percent","3.2","3.3",0.0246
"HHS Region 6","3 wk ahead","Bin","percent","3.3","3.4",0.0217
"HHS Region 6","3 wk ahead","Bin","percent","3.4","3.5",0.0203
"HHS Region 6","3 wk ahead","Bin","percent","3.5","3.6",0.0179
"HHS Region 6","3 wk ahead","Bin","percent","3.6","3.7",0.0122
"HHS Region 6","3 wk ahead","Bin","percent","3.7","3.8",0.0094
"HHS Region 6","3 wk ahead","Bin","percent","3.8","3.9",0.0082
"HHS Region 6","3 wk ahead","Bin","percent","3.9","4.0",0.004
"HHS Region 6","3 wk ahead","Bin","percent","4.0","4.1",0.0038
"HHS Region 6","3 wk ahead","Bin","percent","4.1","4.2",0.0031
"HHS Region 6","3 wk ahead","Bin","percent","4.2","4.3",0.0027
"HHS Region 6","3 wk ahead","Bin","percent","4.3","4.4",0.003
"HHS Region 6","3 wk ahead","Bin","percent","4.4","4.5",0.0039
"HHS Region 6","3 wk ahead","Bin","percent","4.5","4.6",0.004
"HHS Region 6","3 wk ahead","Bin","percent","4.6","4.7",0.003
"HHS Region 6","3 wk ahead","Bin","percent","4.7","4.8",0.0014
"HHS Region 6","3 wk ahead","Bin","percent","4.8","4.9",0.0011
"HHS Region 6","3 wk ahead","Bin","percent","4.9","5.0",9e-04
"HHS Region 6","3 wk ahead","Bin","percent","5.0","5.1",0.0017
"HHS Region 6","3 wk ahead","Bin","percent","5.1","5.2",0.001
"HHS Region 6","3 wk ahead","Bin","percent","5.2","5.3",0.0012
"HHS Region 6","3 wk ahead","Bin","percent","5.3","5.4",6e-04
"HHS Region 6","3 wk ahead","Bin","percent","5.4","5.5",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 6","3 wk ahead","Bin","percent","5.6","5.7",0
"HHS Region 6","3 wk ahead","Bin","percent","5.7","5.8",4e-04
"HHS Region 6","3 wk ahead","Bin","percent","5.8","5.9",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","5.9","6.0",9e-04
"HHS Region 6","3 wk ahead","Bin","percent","6.0","6.1",0.0014
"HHS Region 6","3 wk ahead","Bin","percent","6.1","6.2",8e-04
"HHS Region 6","3 wk ahead","Bin","percent","6.2","6.3",0.001
"HHS Region 6","3 wk ahead","Bin","percent","6.3","6.4",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","6.4","6.5",5e-04
"HHS Region 6","3 wk ahead","Bin","percent","6.5","6.6",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","6.6","6.7",7e-04
"HHS Region 6","3 wk ahead","Bin","percent","6.7","6.8",6e-04
"HHS Region 6","3 wk ahead","Bin","percent","6.8","6.9",0
"HHS Region 6","3 wk ahead","Bin","percent","6.9","7.0",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.0","7.1",0
"HHS Region 6","3 wk ahead","Bin","percent","7.1","7.2",0
"HHS Region 6","3 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 6","3 wk ahead","Bin","percent","7.3","7.4",0
"HHS Region 6","3 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 6","3 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 6","3 wk ahead","Bin","percent","7.6","7.7",4e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.7","7.8",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.8","7.9",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","7.9","8.0",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","3 wk ahead","Bin","percent","8.1","8.2",0
"HHS Region 6","3 wk ahead","Bin","percent","8.2","8.3",0
"HHS Region 6","3 wk ahead","Bin","percent","8.3","8.4",0
"HHS Region 6","3 wk ahead","Bin","percent","8.4","8.5",0
"HHS Region 6","3 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","3 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","3 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","3 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","3 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","3 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","3 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","3 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","3 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","3 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","3 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","3 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","3 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","3 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 6","3 wk ahead","Bin","percent","9.9","10.0",0
"HHS Region 6","3 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","3 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","3 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","3 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","3 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","3 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","3 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","3 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","3 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","3 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","3 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","3 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","3 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","3 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","3 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","3 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","3 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","3 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","3 wk ahead","Bin","percent","11.8","11.9",2e-04
"HHS Region 6","3 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","3 wk ahead","Bin","percent","12.0","12.1",6e-04
"HHS Region 6","3 wk ahead","Bin","percent","12.1","12.2",7e-04
"HHS Region 6","3 wk ahead","Bin","percent","12.2","12.3",1e-04
"HHS Region 6","3 wk ahead","Bin","percent","12.3","12.4",3e-04
"HHS Region 6","3 wk ahead","Bin","percent","12.4","12.5",3e-04
"HHS Region 6","3 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","3 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","3 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","3 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","3 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","3 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 6","4 wk ahead","Point","percent",NA,NA,2.2
"HHS Region 6","4 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 6","4 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 6","4 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 6","4 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 6","4 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 6","4 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 6","4 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 6","4 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 6","4 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 6","4 wk ahead","Bin","percent","0.9","1.0",0.0011
"HHS Region 6","4 wk ahead","Bin","percent","1.0","1.1",0.0018
"HHS Region 6","4 wk ahead","Bin","percent","1.1","1.2",0.0017
"HHS Region 6","4 wk ahead","Bin","percent","1.2","1.3",0.0042
"HHS Region 6","4 wk ahead","Bin","percent","1.3","1.4",0.0043
"HHS Region 6","4 wk ahead","Bin","percent","1.4","1.5",0.0111
"HHS Region 6","4 wk ahead","Bin","percent","1.5","1.6",0.0214
"HHS Region 6","4 wk ahead","Bin","percent","1.6","1.7",0.0322
"HHS Region 6","4 wk ahead","Bin","percent","1.7","1.8",0.0455
"HHS Region 6","4 wk ahead","Bin","percent","1.8","1.9",0.066
"HHS Region 6","4 wk ahead","Bin","percent","1.9","2.0",0.0797
"HHS Region 6","4 wk ahead","Bin","percent","2.0","2.1",0.0783
"HHS Region 6","4 wk ahead","Bin","percent","2.1","2.2",0.0946
"HHS Region 6","4 wk ahead","Bin","percent","2.2","2.3",0.0961
"HHS Region 6","4 wk ahead","Bin","percent","2.3","2.4",0.0696
"HHS Region 6","4 wk ahead","Bin","percent","2.4","2.5",0.0721
"HHS Region 6","4 wk ahead","Bin","percent","2.5","2.6",0.0585
"HHS Region 6","4 wk ahead","Bin","percent","2.6","2.7",0.0466
"HHS Region 6","4 wk ahead","Bin","percent","2.7","2.8",0.0463
"HHS Region 6","4 wk ahead","Bin","percent","2.8","2.9",0.0319
"HHS Region 6","4 wk ahead","Bin","percent","2.9","3.0",0.0276
"HHS Region 6","4 wk ahead","Bin","percent","3.0","3.1",0.0212
"HHS Region 6","4 wk ahead","Bin","percent","3.1","3.2",0.0153
"HHS Region 6","4 wk ahead","Bin","percent","3.2","3.3",0.0119
"HHS Region 6","4 wk ahead","Bin","percent","3.3","3.4",0.0094
"HHS Region 6","4 wk ahead","Bin","percent","3.4","3.5",0.0073
"HHS Region 6","4 wk ahead","Bin","percent","3.5","3.6",0.0051
"HHS Region 6","4 wk ahead","Bin","percent","3.6","3.7",0.0066
"HHS Region 6","4 wk ahead","Bin","percent","3.7","3.8",0.0027
"HHS Region 6","4 wk ahead","Bin","percent","3.8","3.9",0.0036
"HHS Region 6","4 wk ahead","Bin","percent","3.9","4.0",0.002
"HHS Region 6","4 wk ahead","Bin","percent","4.0","4.1",0.0015
"HHS Region 6","4 wk ahead","Bin","percent","4.1","4.2",0.0021
"HHS Region 6","4 wk ahead","Bin","percent","4.2","4.3",0.001
"HHS Region 6","4 wk ahead","Bin","percent","4.3","4.4",0.0018
"HHS Region 6","4 wk ahead","Bin","percent","4.4","4.5",0.0032
"HHS Region 6","4 wk ahead","Bin","percent","4.5","4.6",0.0022
"HHS Region 6","4 wk ahead","Bin","percent","4.6","4.7",0.0013
"HHS Region 6","4 wk ahead","Bin","percent","4.7","4.8",0.0014
"HHS Region 6","4 wk ahead","Bin","percent","4.8","4.9",9e-04
"HHS Region 6","4 wk ahead","Bin","percent","4.9","5.0",0.0013
"HHS Region 6","4 wk ahead","Bin","percent","5.0","5.1",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","5.1","5.2",5e-04
"HHS Region 6","4 wk ahead","Bin","percent","5.2","5.3",2e-04
"HHS Region 6","4 wk ahead","Bin","percent","5.3","5.4",0
"HHS Region 6","4 wk ahead","Bin","percent","5.4","5.5",4e-04
"HHS Region 6","4 wk ahead","Bin","percent","5.5","5.6",0
"HHS Region 6","4 wk ahead","Bin","percent","5.6","5.7",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","5.7","5.8",1e-04
"HHS Region 6","4 wk ahead","Bin","percent","5.8","5.9",2e-04
"HHS Region 6","4 wk ahead","Bin","percent","5.9","6.0",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.0","6.1",6e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.1","6.2",1e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.2","6.3",1e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.3","6.4",0
"HHS Region 6","4 wk ahead","Bin","percent","6.4","6.5",0
"HHS Region 6","4 wk ahead","Bin","percent","6.5","6.6",0
"HHS Region 6","4 wk ahead","Bin","percent","6.6","6.7",5e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.7","6.8",4e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.8","6.9",1e-04
"HHS Region 6","4 wk ahead","Bin","percent","6.9","7.0",0
"HHS Region 6","4 wk ahead","Bin","percent","7.0","7.1",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","7.1","7.2",2e-04
"HHS Region 6","4 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 6","4 wk ahead","Bin","percent","7.3","7.4",1e-04
"HHS Region 6","4 wk ahead","Bin","percent","7.4","7.5",0
"HHS Region 6","4 wk ahead","Bin","percent","7.5","7.6",0
"HHS Region 6","4 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 6","4 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 6","4 wk ahead","Bin","percent","7.8","7.9",0
"HHS Region 6","4 wk ahead","Bin","percent","7.9","8.0",2e-04
"HHS Region 6","4 wk ahead","Bin","percent","8.0","8.1",0
"HHS Region 6","4 wk ahead","Bin","percent","8.1","8.2",9e-04
"HHS Region 6","4 wk ahead","Bin","percent","8.2","8.3",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","8.3","8.4",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","8.4","8.5",3e-04
"HHS Region 6","4 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 6","4 wk ahead","Bin","percent","8.6","8.7",0
"HHS Region 6","4 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 6","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 6","4 wk ahead","Bin","percent","8.9","9.0",0
"HHS Region 6","4 wk ahead","Bin","percent","9.0","9.1",0
"HHS Region 6","4 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 6","4 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 6","4 wk ahead","Bin","percent","9.3","9.4",0
"HHS Region 6","4 wk ahead","Bin","percent","9.4","9.5",0
"HHS Region 6","4 wk ahead","Bin","percent","9.5","9.6",0
"HHS Region 6","4 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 6","4 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 6","4 wk ahead","Bin","percent","9.8","9.9",5e-04
"HHS Region 6","4 wk ahead","Bin","percent","9.9","10.0",4e-04
"HHS Region 6","4 wk ahead","Bin","percent","10.0","10.1",0
"HHS Region 6","4 wk ahead","Bin","percent","10.1","10.2",0
"HHS Region 6","4 wk ahead","Bin","percent","10.2","10.3",0
"HHS Region 6","4 wk ahead","Bin","percent","10.3","10.4",0
"HHS Region 6","4 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 6","4 wk ahead","Bin","percent","10.5","10.6",0
"HHS Region 6","4 wk ahead","Bin","percent","10.6","10.7",0
"HHS Region 6","4 wk ahead","Bin","percent","10.7","10.8",0
"HHS Region 6","4 wk ahead","Bin","percent","10.8","10.9",0
"HHS Region 6","4 wk ahead","Bin","percent","10.9","11.0",0
"HHS Region 6","4 wk ahead","Bin","percent","11.0","11.1",0
"HHS Region 6","4 wk ahead","Bin","percent","11.1","11.2",0
"HHS Region 6","4 wk ahead","Bin","percent","11.2","11.3",0
"HHS Region 6","4 wk ahead","Bin","percent","11.3","11.4",0
"HHS Region 6","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 6","4 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 6","4 wk ahead","Bin","percent","11.6","11.7",0
"HHS Region 6","4 wk ahead","Bin","percent","11.7","11.8",0
"HHS Region 6","4 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 6","4 wk ahead","Bin","percent","11.9","12.0",0
"HHS Region 6","4 wk ahead","Bin","percent","12.0","12.1",0
"HHS Region 6","4 wk ahead","Bin","percent","12.1","12.2",0
"HHS Region 6","4 wk ahead","Bin","percent","12.2","12.3",0
"HHS Region 6","4 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 6","4 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 6","4 wk ahead","Bin","percent","12.5","12.6",0
"HHS Region 6","4 wk ahead","Bin","percent","12.6","12.7",0
"HHS Region 6","4 wk ahead","Bin","percent","12.7","12.8",0
"HHS Region 6","4 wk ahead","Bin","percent","12.8","12.9",0
"HHS Region 6","4 wk ahead","Bin","percent","12.9","13.0",0
"HHS Region 6","4 wk ahead","Bin","percent","13.0","100.0",0
"HHS Region 7","1 wk ahead","Point","percent",NA,NA,1.5
"HHS Region 7","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 7","1 wk ahead","Bin","percent","0.1","0.2",2e-04
"HHS Region 7","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 7","1 wk ahead","Bin","percent","0.3","0.4",0.0025
"HHS Region 7","1 wk ahead","Bin","percent","0.4","0.5",0.0013
"HHS Region 7","1 wk ahead","Bin","percent","0.5","0.6",0.0063
"HHS Region 7","1 wk ahead","Bin","percent","0.6","0.7",0.0099
"HHS Region 7","1 wk ahead","Bin","percent","0.7","0.8",0.0108
"HHS Region 7","1 wk ahead","Bin","percent","0.8","0.9",0.0276
"HHS Region 7","1 wk ahead","Bin","percent","0.9","1.0",0.0324
"HHS Region 7","1 wk ahead","Bin","percent","1.0","1.1",0.0382
"HHS Region 7","1 wk ahead","Bin","percent","1.1","1.2",0.0616
"HHS Region 7","1 wk ahead","Bin","percent","1.2","1.3",0.0799
"HHS Region 7","1 wk ahead","Bin","percent","1.3","1.4",0.0868
"HHS Region 7","1 wk ahead","Bin","percent","1.4","1.5",0.0937
"HHS Region 7","1 wk ahead","Bin","percent","1.5","1.6",0.1098
"HHS Region 7","1 wk ahead","Bin","percent","1.6","1.7",0.0916
"HHS Region 7","1 wk ahead","Bin","percent","1.7","1.8",0.0848
"HHS Region 7","1 wk ahead","Bin","percent","1.8","1.9",0.0726
"HHS Region 7","1 wk ahead","Bin","percent","1.9","2.0",0.052
"HHS Region 7","1 wk ahead","Bin","percent","2.0","2.1",0.0339
"HHS Region 7","1 wk ahead","Bin","percent","2.1","2.2",0.0277
"HHS Region 7","1 wk ahead","Bin","percent","2.2","2.3",0.0188
"HHS Region 7","1 wk ahead","Bin","percent","2.3","2.4",0.0122
"HHS Region 7","1 wk ahead","Bin","percent","2.4","2.5",0.0117
"HHS Region 7","1 wk ahead","Bin","percent","2.5","2.6",0.007
"HHS Region 7","1 wk ahead","Bin","percent","2.6","2.7",0.005
"HHS Region 7","1 wk ahead","Bin","percent","2.7","2.8",0.005
"HHS Region 7","1 wk ahead","Bin","percent","2.8","2.9",0.0022
"HHS Region 7","1 wk ahead","Bin","percent","2.9","3.0",0.0025
"HHS Region 7","1 wk ahead","Bin","percent","3.0","3.1",0.0018
"HHS Region 7","1 wk ahead","Bin","percent","3.1","3.2",0.0014
