"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 4","4 wk ahead","Bin","percent","6.9","7.0",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.0","7.1",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.1","7.2",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.2","7.3",0
"HHS Region 4","4 wk ahead","Bin","percent","7.3","7.4",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.4","7.5",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.5","7.6",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.6","7.7",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.8","7.9",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","7.9","8.0",8e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.0","8.1",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.1","8.2",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.2","8.3",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.3","8.4",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.4","8.5",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.5","8.6",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.6","8.7",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.7","8.8",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","8.8","8.9",0
"HHS Region 4","4 wk ahead","Bin","percent","8.9","9.0",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.0","9.1",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.1","9.2",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.2","9.3",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.3","9.4",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.4","9.5",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.5","9.6",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.6","9.7",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.7","9.8",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.8","9.9",7e-04
"HHS Region 4","4 wk ahead","Bin","percent","9.9","10.0",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.0","10.1",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.1","10.2",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.2","10.3",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.3","10.4",9e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.4","10.5",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.5","10.6",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.6","10.7",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.7","10.8",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.8","10.9",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","10.9","11.0",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.0","11.1",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.1","11.2",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.2","11.3",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.3","11.4",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.4","11.5",0
"HHS Region 4","4 wk ahead","Bin","percent","11.5","11.6",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.6","11.7",3e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.7","11.8",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.8","11.9",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","11.9","12.0",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.0","12.1",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.1","12.2",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.2","12.3",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.3","12.4",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.4","12.5",2e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.5","12.6",5e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.6","12.7",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.7","12.8",1e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.8","12.9",6e-04
"HHS Region 4","4 wk ahead","Bin","percent","12.9","13.0",4e-04
"HHS Region 4","4 wk ahead","Bin","percent","13.0","100.0",6e-04
"HHS Region 5","1 wk ahead","Point","percent",NA,NA,1.4
"HHS Region 5","1 wk ahead","Bin","percent","0.0","0.1",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.1","0.2",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.2","0.3",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.3","0.4",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.4","0.5",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.5","0.6",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","0.6","0.7",0.0011
"HHS Region 5","1 wk ahead","Bin","percent","0.7","0.8",0.0019
"HHS Region 5","1 wk ahead","Bin","percent","0.8","0.9",0.0032
"HHS Region 5","1 wk ahead","Bin","percent","0.9","1.0",0.0089
"HHS Region 5","1 wk ahead","Bin","percent","1.0","1.1",0.0252
"HHS Region 5","1 wk ahead","Bin","percent","1.1","1.2",0.0581
"HHS Region 5","1 wk ahead","Bin","percent","1.2","1.3",0.1167
"HHS Region 5","1 wk ahead","Bin","percent","1.3","1.4",0.1866
"HHS Region 5","1 wk ahead","Bin","percent","1.4","1.5",0.1918
"HHS Region 5","1 wk ahead","Bin","percent","1.5","1.6",0.157
"HHS Region 5","1 wk ahead","Bin","percent","1.6","1.7",0.1087
"HHS Region 5","1 wk ahead","Bin","percent","1.7","1.8",0.0613
"HHS Region 5","1 wk ahead","Bin","percent","1.8","1.9",0.0255
"HHS Region 5","1 wk ahead","Bin","percent","1.9","2.0",0.0139
"HHS Region 5","1 wk ahead","Bin","percent","2.0","2.1",0.0077
"HHS Region 5","1 wk ahead","Bin","percent","2.1","2.2",0.0029
"HHS Region 5","1 wk ahead","Bin","percent","2.2","2.3",0.0015
"HHS Region 5","1 wk ahead","Bin","percent","2.3","2.4",9e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.4","2.5",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.5","2.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.6","2.7",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.7","2.8",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.8","2.9",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","2.9","3.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.0","3.1",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.1","3.2",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.2","3.3",0
"HHS Region 5","1 wk ahead","Bin","percent","3.3","3.4",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.4","3.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.5","3.6",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.6","3.7",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.7","3.8",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.8","3.9",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","3.9","4.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.0","4.1",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.1","4.2",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.2","4.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.3","4.4",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.4","4.5",0
"HHS Region 5","1 wk ahead","Bin","percent","4.5","4.6",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.6","4.7",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.7","4.8",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.8","4.9",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","4.9","5.0",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.0","5.1",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.1","5.2",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.2","5.3",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.3","5.4",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.4","5.5",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.5","5.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.6","5.7",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.7","5.8",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","5.8","5.9",0
"HHS Region 5","1 wk ahead","Bin","percent","5.9","6.0",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.0","6.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.1","6.2",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.2","6.3",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.3","6.4",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.4","6.5",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.5","6.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.6","6.7",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.7","6.8",0
"HHS Region 5","1 wk ahead","Bin","percent","6.8","6.9",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","6.9","7.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.0","7.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.1","7.2",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.2","7.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.3","7.4",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.4","7.5",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.5","7.6",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.6","7.7",0
"HHS Region 5","1 wk ahead","Bin","percent","7.7","7.8",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.8","7.9",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","7.9","8.0",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.0","8.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.1","8.2",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.2","8.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.3","8.4",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.4","8.5",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.5","8.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.6","8.7",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.7","8.8",0
"HHS Region 5","1 wk ahead","Bin","percent","8.8","8.9",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","8.9","9.0",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.0","9.1",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.1","9.2",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.2","9.3",0
"HHS Region 5","1 wk ahead","Bin","percent","9.3","9.4",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.4","9.5",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.5","9.6",7e-04
"HHS Region 5","1 wk ahead","Bin","percent","9.6","9.7",0
"HHS Region 5","1 wk ahead","Bin","percent","9.7","9.8",0
"HHS Region 5","1 wk ahead","Bin","percent","9.8","9.9",0
"HHS Region 5","1 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.0","10.1",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.1","10.2",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.2","10.3",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.3","10.4",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.4","10.5",0
"HHS Region 5","1 wk ahead","Bin","percent","10.5","10.6",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.6","10.7",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.7","10.8",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.8","10.9",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","10.9","11.0",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.0","11.1",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.1","11.2",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.2","11.3",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.3","11.4",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.4","11.5",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.5","11.6",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.6","11.7",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.7","11.8",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 5","1 wk ahead","Bin","percent","11.9","12.0",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.0","12.1",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.1","12.2",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.2","12.3",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.3","12.4",0
"HHS Region 5","1 wk ahead","Bin","percent","12.4","12.5",6e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.5","12.6",3e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.6","12.7",4e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.7","12.8",2e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.8","12.9",1e-04
"HHS Region 5","1 wk ahead","Bin","percent","12.9","13.0",5e-04
"HHS Region 5","1 wk ahead","Bin","percent","13.0","100.0",4e-04
"HHS Region 5","2 wk ahead","Point","percent",NA,NA,1.3
"HHS Region 5","2 wk ahead","Bin","percent","0.0","0.1",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.1","0.2",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.2","0.3",5e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.3","0.4",8e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.4","0.5",9e-04
"HHS Region 5","2 wk ahead","Bin","percent","0.5","0.6",0.0012
"HHS Region 5","2 wk ahead","Bin","percent","0.6","0.7",0.0025
"HHS Region 5","2 wk ahead","Bin","percent","0.7","0.8",0.0092
"HHS Region 5","2 wk ahead","Bin","percent","0.8","0.9",0.023
"HHS Region 5","2 wk ahead","Bin","percent","0.9","1.0",0.0465
"HHS Region 5","2 wk ahead","Bin","percent","1.0","1.1",0.0872
"HHS Region 5","2 wk ahead","Bin","percent","1.1","1.2",0.1256
"HHS Region 5","2 wk ahead","Bin","percent","1.2","1.3",0.1496
"HHS Region 5","2 wk ahead","Bin","percent","1.3","1.4",0.1588
"HHS Region 5","2 wk ahead","Bin","percent","1.4","1.5",0.128
"HHS Region 5","2 wk ahead","Bin","percent","1.5","1.6",0.0998
"HHS Region 5","2 wk ahead","Bin","percent","1.6","1.7",0.0596
"HHS Region 5","2 wk ahead","Bin","percent","1.7","1.8",0.0401
"HHS Region 5","2 wk ahead","Bin","percent","1.8","1.9",0.0192
"HHS Region 5","2 wk ahead","Bin","percent","1.9","2.0",0.0135
"HHS Region 5","2 wk ahead","Bin","percent","2.0","2.1",0.0051
"HHS Region 5","2 wk ahead","Bin","percent","2.1","2.2",0.0022
"HHS Region 5","2 wk ahead","Bin","percent","2.2","2.3",0.002
"HHS Region 5","2 wk ahead","Bin","percent","2.3","2.4",9e-04
"HHS Region 5","2 wk ahead","Bin","percent","2.4","2.5",7e-04
"HHS Region 5","2 wk ahead","Bin","percent","2.5","2.6",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","2.6","2.7",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","2.7","2.8",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","2.8","2.9",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","2.9","3.0",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.0","3.1",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.1","3.2",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.2","3.3",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.3","3.4",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.4","3.5",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.5","3.6",5e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.6","3.7",0
"HHS Region 5","2 wk ahead","Bin","percent","3.7","3.8",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","3.8","3.9",0
"HHS Region 5","2 wk ahead","Bin","percent","3.9","4.0",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.0","4.1",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.1","4.2",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.2","4.3",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.3","4.4",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.4","4.5",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.5","4.6",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.6","4.7",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.7","4.8",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.8","4.9",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","4.9","5.0",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.0","5.1",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.1","5.2",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.2","5.3",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.3","5.4",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.4","5.5",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.5","5.6",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.6","5.7",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.7","5.8",5e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.8","5.9",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","5.9","6.0",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.0","6.1",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.1","6.2",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.2","6.3",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.3","6.4",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.4","6.5",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.5","6.6",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.6","6.7",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.7","6.8",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.8","6.9",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","6.9","7.0",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.0","7.1",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.1","7.2",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.2","7.3",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.3","7.4",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.4","7.5",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.5","7.6",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.6","7.7",5e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.7","7.8",0
"HHS Region 5","2 wk ahead","Bin","percent","7.8","7.9",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","7.9","8.0",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.0","8.1",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.1","8.2",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.2","8.3",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.3","8.4",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.4","8.5",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.5","8.6",0
"HHS Region 5","2 wk ahead","Bin","percent","8.6","8.7",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.7","8.8",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.8","8.9",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","8.9","9.0",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.0","9.1",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.1","9.2",0
"HHS Region 5","2 wk ahead","Bin","percent","9.2","9.3",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.3","9.4",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.4","9.5",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.5","9.6",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.6","9.7",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.7","9.8",5e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.8","9.9",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","9.9","10.0",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.0","10.1",6e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.1","10.2",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.2","10.3",5e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.3","10.4",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.4","10.5",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.5","10.6",5e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.6","10.7",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.7","10.8",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.8","10.9",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","10.9","11.0",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.0","11.1",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.1","11.2",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.2","11.3",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.3","11.4",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.4","11.5",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.5","11.6",0
"HHS Region 5","2 wk ahead","Bin","percent","11.6","11.7",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.7","11.8",3e-04
"HHS Region 5","2 wk ahead","Bin","percent","11.8","11.9",0
"HHS Region 5","2 wk ahead","Bin","percent","11.9","12.0",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.0","12.1",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.1","12.2",4e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.2","12.3",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.3","12.4",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.4","12.5",0
"HHS Region 5","2 wk ahead","Bin","percent","12.5","12.6",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.6","12.7",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.7","12.8",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.8","12.9",1e-04
"HHS Region 5","2 wk ahead","Bin","percent","12.9","13.0",2e-04
"HHS Region 5","2 wk ahead","Bin","percent","13.0","100.0",5e-04
"HHS Region 5","3 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 5","3 wk ahead","Bin","percent","0.0","0.1",6e-04
"HHS Region 5","3 wk ahead","Bin","percent","0.1","0.2",1e-04
"HHS Region 5","3 wk ahead","Bin","percent","0.2","0.3",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","0.3","0.4",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","0.4","0.5",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","0.5","0.6",0.0021
"HHS Region 5","3 wk ahead","Bin","percent","0.6","0.7",0.0057
"HHS Region 5","3 wk ahead","Bin","percent","0.7","0.8",0.0188
"HHS Region 5","3 wk ahead","Bin","percent","0.8","0.9",0.0368
"HHS Region 5","3 wk ahead","Bin","percent","0.9","1.0",0.0704
"HHS Region 5","3 wk ahead","Bin","percent","1.0","1.1",0.1182
"HHS Region 5","3 wk ahead","Bin","percent","1.1","1.2",0.1367
"HHS Region 5","3 wk ahead","Bin","percent","1.2","1.3",0.1557
"HHS Region 5","3 wk ahead","Bin","percent","1.3","1.4",0.133
"HHS Region 5","3 wk ahead","Bin","percent","1.4","1.5",0.1021
"HHS Region 5","3 wk ahead","Bin","percent","1.5","1.6",0.077
"HHS Region 5","3 wk ahead","Bin","percent","1.6","1.7",0.0494
"HHS Region 5","3 wk ahead","Bin","percent","1.7","1.8",0.027
"HHS Region 5","3 wk ahead","Bin","percent","1.8","1.9",0.0157
"HHS Region 5","3 wk ahead","Bin","percent","1.9","2.0",0.009
"HHS Region 5","3 wk ahead","Bin","percent","2.0","2.1",0.0049
"HHS Region 5","3 wk ahead","Bin","percent","2.1","2.2",0.0039
"HHS Region 5","3 wk ahead","Bin","percent","2.2","2.3",0.0012
"HHS Region 5","3 wk ahead","Bin","percent","2.3","2.4",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","2.4","2.5",7e-04
"HHS Region 5","3 wk ahead","Bin","percent","2.5","2.6",9e-04
"HHS Region 5","3 wk ahead","Bin","percent","2.6","2.7",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","2.7","2.8",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","2.8","2.9",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","2.9","3.0",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.0","3.1",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.1","3.2",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.2","3.3",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.3","3.4",0
"HHS Region 5","3 wk ahead","Bin","percent","3.4","3.5",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.5","3.6",0
"HHS Region 5","3 wk ahead","Bin","percent","3.6","3.7",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.7","3.8",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.8","3.9",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","3.9","4.0",1e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.0","4.1",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.1","4.2",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.2","4.3",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.3","4.4",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.4","4.5",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.5","4.6",2e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.6","4.7",0
"HHS Region 5","3 wk ahead","Bin","percent","4.7","4.8",5e-04
"HHS Region 5","3 wk ahead","Bin","percent","4.8","4.9",0
"HHS Region 5","3 wk ahead","Bin","percent","4.9","5.0",3e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.0","5.1",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.1","5.2",4e-04
"HHS Region 5","3 wk ahead","Bin","percent","5.2","5.3",2e-04
