"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"Kentucky","3 wk ahead","Bin","percent","8.9","9.0",0
"Kentucky","3 wk ahead","Bin","percent","9.0","9.1",0
"Kentucky","3 wk ahead","Bin","percent","9.1","9.2",0
"Kentucky","3 wk ahead","Bin","percent","9.2","9.3",0
"Kentucky","3 wk ahead","Bin","percent","9.3","9.4",0
"Kentucky","3 wk ahead","Bin","percent","9.4","9.5",0
"Kentucky","3 wk ahead","Bin","percent","9.5","9.6",0
"Kentucky","3 wk ahead","Bin","percent","9.6","9.7",0
"Kentucky","3 wk ahead","Bin","percent","9.7","9.8",0
"Kentucky","3 wk ahead","Bin","percent","9.8","9.9",0
"Kentucky","3 wk ahead","Bin","percent","9.9","10.0",0
"Kentucky","3 wk ahead","Bin","percent","10.0","10.1",0
"Kentucky","3 wk ahead","Bin","percent","10.1","10.2",0
"Kentucky","3 wk ahead","Bin","percent","10.2","10.3",0
"Kentucky","3 wk ahead","Bin","percent","10.3","10.4",0
"Kentucky","3 wk ahead","Bin","percent","10.4","10.5",0
"Kentucky","3 wk ahead","Bin","percent","10.5","10.6",0
"Kentucky","3 wk ahead","Bin","percent","10.6","10.7",0
"Kentucky","3 wk ahead","Bin","percent","10.7","10.8",0
"Kentucky","3 wk ahead","Bin","percent","10.8","10.9",0
"Kentucky","3 wk ahead","Bin","percent","10.9","11.0",0
"Kentucky","3 wk ahead","Bin","percent","11.0","11.1",0
"Kentucky","3 wk ahead","Bin","percent","11.1","11.2",0
"Kentucky","3 wk ahead","Bin","percent","11.2","11.3",0
"Kentucky","3 wk ahead","Bin","percent","11.3","11.4",0
"Kentucky","3 wk ahead","Bin","percent","11.4","11.5",0
"Kentucky","3 wk ahead","Bin","percent","11.5","11.6",0
"Kentucky","3 wk ahead","Bin","percent","11.6","11.7",0
"Kentucky","3 wk ahead","Bin","percent","11.7","11.8",0
"Kentucky","3 wk ahead","Bin","percent","11.8","11.9",0
"Kentucky","3 wk ahead","Bin","percent","11.9","12.0",0
"Kentucky","3 wk ahead","Bin","percent","12.0","12.1",0
"Kentucky","3 wk ahead","Bin","percent","12.1","12.2",0
"Kentucky","3 wk ahead","Bin","percent","12.2","12.3",0
"Kentucky","3 wk ahead","Bin","percent","12.3","12.4",0
"Kentucky","3 wk ahead","Bin","percent","12.4","12.5",0
"Kentucky","3 wk ahead","Bin","percent","12.5","12.6",0
"Kentucky","3 wk ahead","Bin","percent","12.6","12.7",0
"Kentucky","3 wk ahead","Bin","percent","12.7","12.8",0
"Kentucky","3 wk ahead","Bin","percent","12.8","12.9",0
"Kentucky","3 wk ahead","Bin","percent","12.9","13.0",0
"Kentucky","3 wk ahead","Bin","percent","13.0","100.0",0
"Kentucky","4 wk ahead","Point","percent",NA,NA,3.9
"Kentucky","4 wk ahead","Bin","percent","0.0","0.1",0
"Kentucky","4 wk ahead","Bin","percent","0.1","0.2",0
"Kentucky","4 wk ahead","Bin","percent","0.2","0.3",0
"Kentucky","4 wk ahead","Bin","percent","0.3","0.4",0
"Kentucky","4 wk ahead","Bin","percent","0.4","0.5",0
"Kentucky","4 wk ahead","Bin","percent","0.5","0.6",0
"Kentucky","4 wk ahead","Bin","percent","0.6","0.7",0
"Kentucky","4 wk ahead","Bin","percent","0.7","0.8",0
"Kentucky","4 wk ahead","Bin","percent","0.8","0.9",0
"Kentucky","4 wk ahead","Bin","percent","0.9","1.0",0
"Kentucky","4 wk ahead","Bin","percent","1.0","1.1",0
"Kentucky","4 wk ahead","Bin","percent","1.1","1.2",0
"Kentucky","4 wk ahead","Bin","percent","1.2","1.3",0
"Kentucky","4 wk ahead","Bin","percent","1.3","1.4",0
"Kentucky","4 wk ahead","Bin","percent","1.4","1.5",0
"Kentucky","4 wk ahead","Bin","percent","1.5","1.6",0
"Kentucky","4 wk ahead","Bin","percent","1.6","1.7",0
"Kentucky","4 wk ahead","Bin","percent","1.7","1.8",0
"Kentucky","4 wk ahead","Bin","percent","1.8","1.9",0
"Kentucky","4 wk ahead","Bin","percent","1.9","2.0",0
"Kentucky","4 wk ahead","Bin","percent","2.0","2.1",0
"Kentucky","4 wk ahead","Bin","percent","2.1","2.2",0
"Kentucky","4 wk ahead","Bin","percent","2.2","2.3",0
"Kentucky","4 wk ahead","Bin","percent","2.3","2.4",0
"Kentucky","4 wk ahead","Bin","percent","2.4","2.5",0
"Kentucky","4 wk ahead","Bin","percent","2.5","2.6",0
"Kentucky","4 wk ahead","Bin","percent","2.6","2.7",0
"Kentucky","4 wk ahead","Bin","percent","2.7","2.8",0
"Kentucky","4 wk ahead","Bin","percent","2.8","2.9",0
"Kentucky","4 wk ahead","Bin","percent","2.9","3.0",0
"Kentucky","4 wk ahead","Bin","percent","3.0","3.1",1e-04
"Kentucky","4 wk ahead","Bin","percent","3.1","3.2",1e-04
"Kentucky","4 wk ahead","Bin","percent","3.2","3.3",9e-04
"Kentucky","4 wk ahead","Bin","percent","3.3","3.4",0.0054
"Kentucky","4 wk ahead","Bin","percent","3.4","3.5",0.0157
"Kentucky","4 wk ahead","Bin","percent","3.5","3.6",0.0487
"Kentucky","4 wk ahead","Bin","percent","3.6","3.7",0.0866
"Kentucky","4 wk ahead","Bin","percent","3.7","3.8",0.1297
"Kentucky","4 wk ahead","Bin","percent","3.8","3.9",0.1557
"Kentucky","4 wk ahead","Bin","percent","3.9","4.0",0.1469
"Kentucky","4 wk ahead","Bin","percent","4.0","4.1",0.1161
"Kentucky","4 wk ahead","Bin","percent","4.1","4.2",0.0814
"Kentucky","4 wk ahead","Bin","percent","4.2","4.3",0.0565
"Kentucky","4 wk ahead","Bin","percent","4.3","4.4",0.0391
"Kentucky","4 wk ahead","Bin","percent","4.4","4.5",0.0321
"Kentucky","4 wk ahead","Bin","percent","4.5","4.6",0.0247
"Kentucky","4 wk ahead","Bin","percent","4.6","4.7",0.0188
"Kentucky","4 wk ahead","Bin","percent","4.7","4.8",0.0157
"Kentucky","4 wk ahead","Bin","percent","4.8","4.9",0.0101
"Kentucky","4 wk ahead","Bin","percent","4.9","5.0",0.0066
"Kentucky","4 wk ahead","Bin","percent","5.0","5.1",0.0044
"Kentucky","4 wk ahead","Bin","percent","5.1","5.2",0.0025
"Kentucky","4 wk ahead","Bin","percent","5.2","5.3",9e-04
"Kentucky","4 wk ahead","Bin","percent","5.3","5.4",9e-04
"Kentucky","4 wk ahead","Bin","percent","5.4","5.5",3e-04
"Kentucky","4 wk ahead","Bin","percent","5.5","5.6",0
"Kentucky","4 wk ahead","Bin","percent","5.6","5.7",1e-04
"Kentucky","4 wk ahead","Bin","percent","5.7","5.8",0
"Kentucky","4 wk ahead","Bin","percent","5.8","5.9",0
"Kentucky","4 wk ahead","Bin","percent","5.9","6.0",0
"Kentucky","4 wk ahead","Bin","percent","6.0","6.1",0
"Kentucky","4 wk ahead","Bin","percent","6.1","6.2",0
"Kentucky","4 wk ahead","Bin","percent","6.2","6.3",0
"Kentucky","4 wk ahead","Bin","percent","6.3","6.4",0
"Kentucky","4 wk ahead","Bin","percent","6.4","6.5",0
"Kentucky","4 wk ahead","Bin","percent","6.5","6.6",0
"Kentucky","4 wk ahead","Bin","percent","6.6","6.7",0
"Kentucky","4 wk ahead","Bin","percent","6.7","6.8",0
"Kentucky","4 wk ahead","Bin","percent","6.8","6.9",0
"Kentucky","4 wk ahead","Bin","percent","6.9","7.0",0
"Kentucky","4 wk ahead","Bin","percent","7.0","7.1",0
"Kentucky","4 wk ahead","Bin","percent","7.1","7.2",0
"Kentucky","4 wk ahead","Bin","percent","7.2","7.3",0
"Kentucky","4 wk ahead","Bin","percent","7.3","7.4",0
"Kentucky","4 wk ahead","Bin","percent","7.4","7.5",0
"Kentucky","4 wk ahead","Bin","percent","7.5","7.6",0
"Kentucky","4 wk ahead","Bin","percent","7.6","7.7",0
"Kentucky","4 wk ahead","Bin","percent","7.7","7.8",0
"Kentucky","4 wk ahead","Bin","percent","7.8","7.9",0
"Kentucky","4 wk ahead","Bin","percent","7.9","8.0",0
"Kentucky","4 wk ahead","Bin","percent","8.0","8.1",0
"Kentucky","4 wk ahead","Bin","percent","8.1","8.2",0
"Kentucky","4 wk ahead","Bin","percent","8.2","8.3",0
"Kentucky","4 wk ahead","Bin","percent","8.3","8.4",0
"Kentucky","4 wk ahead","Bin","percent","8.4","8.5",0
"Kentucky","4 wk ahead","Bin","percent","8.5","8.6",0
"Kentucky","4 wk ahead","Bin","percent","8.6","8.7",0
"Kentucky","4 wk ahead","Bin","percent","8.7","8.8",0
"Kentucky","4 wk ahead","Bin","percent","8.8","8.9",0
"Kentucky","4 wk ahead","Bin","percent","8.9","9.0",0
"Kentucky","4 wk ahead","Bin","percent","9.0","9.1",0
"Kentucky","4 wk ahead","Bin","percent","9.1","9.2",0
"Kentucky","4 wk ahead","Bin","percent","9.2","9.3",0
"Kentucky","4 wk ahead","Bin","percent","9.3","9.4",0
"Kentucky","4 wk ahead","Bin","percent","9.4","9.5",0
"Kentucky","4 wk ahead","Bin","percent","9.5","9.6",0
"Kentucky","4 wk ahead","Bin","percent","9.6","9.7",0
"Kentucky","4 wk ahead","Bin","percent","9.7","9.8",0
"Kentucky","4 wk ahead","Bin","percent","9.8","9.9",0
"Kentucky","4 wk ahead","Bin","percent","9.9","10.0",0
"Kentucky","4 wk ahead","Bin","percent","10.0","10.1",0
"Kentucky","4 wk ahead","Bin","percent","10.1","10.2",0
"Kentucky","4 wk ahead","Bin","percent","10.2","10.3",0
"Kentucky","4 wk ahead","Bin","percent","10.3","10.4",0
"Kentucky","4 wk ahead","Bin","percent","10.4","10.5",0
"Kentucky","4 wk ahead","Bin","percent","10.5","10.6",0
"Kentucky","4 wk ahead","Bin","percent","10.6","10.7",0
"Kentucky","4 wk ahead","Bin","percent","10.7","10.8",0
"Kentucky","4 wk ahead","Bin","percent","10.8","10.9",0
"Kentucky","4 wk ahead","Bin","percent","10.9","11.0",0
"Kentucky","4 wk ahead","Bin","percent","11.0","11.1",0
"Kentucky","4 wk ahead","Bin","percent","11.1","11.2",0
"Kentucky","4 wk ahead","Bin","percent","11.2","11.3",0
"Kentucky","4 wk ahead","Bin","percent","11.3","11.4",0
"Kentucky","4 wk ahead","Bin","percent","11.4","11.5",0
"Kentucky","4 wk ahead","Bin","percent","11.5","11.6",0
"Kentucky","4 wk ahead","Bin","percent","11.6","11.7",0
"Kentucky","4 wk ahead","Bin","percent","11.7","11.8",0
"Kentucky","4 wk ahead","Bin","percent","11.8","11.9",0
"Kentucky","4 wk ahead","Bin","percent","11.9","12.0",0
"Kentucky","4 wk ahead","Bin","percent","12.0","12.1",0
"Kentucky","4 wk ahead","Bin","percent","12.1","12.2",0
"Kentucky","4 wk ahead","Bin","percent","12.2","12.3",0
"Kentucky","4 wk ahead","Bin","percent","12.3","12.4",0
"Kentucky","4 wk ahead","Bin","percent","12.4","12.5",0
"Kentucky","4 wk ahead","Bin","percent","12.5","12.6",0
"Kentucky","4 wk ahead","Bin","percent","12.6","12.7",0
"Kentucky","4 wk ahead","Bin","percent","12.7","12.8",0
"Kentucky","4 wk ahead","Bin","percent","12.8","12.9",0
"Kentucky","4 wk ahead","Bin","percent","12.9","13.0",0
"Kentucky","4 wk ahead","Bin","percent","13.0","100.0",0
"Louisiana","1 wk ahead","Point","percent",NA,NA,6.7
"Louisiana","1 wk ahead","Bin","percent","0.0","0.1",0
"Louisiana","1 wk ahead","Bin","percent","0.1","0.2",0
"Louisiana","1 wk ahead","Bin","percent","0.2","0.3",0
"Louisiana","1 wk ahead","Bin","percent","0.3","0.4",0
"Louisiana","1 wk ahead","Bin","percent","0.4","0.5",0
"Louisiana","1 wk ahead","Bin","percent","0.5","0.6",0
"Louisiana","1 wk ahead","Bin","percent","0.6","0.7",0
"Louisiana","1 wk ahead","Bin","percent","0.7","0.8",0
"Louisiana","1 wk ahead","Bin","percent","0.8","0.9",0
"Louisiana","1 wk ahead","Bin","percent","0.9","1.0",0
"Louisiana","1 wk ahead","Bin","percent","1.0","1.1",0
"Louisiana","1 wk ahead","Bin","percent","1.1","1.2",0
"Louisiana","1 wk ahead","Bin","percent","1.2","1.3",0
"Louisiana","1 wk ahead","Bin","percent","1.3","1.4",0
"Louisiana","1 wk ahead","Bin","percent","1.4","1.5",0
"Louisiana","1 wk ahead","Bin","percent","1.5","1.6",0
"Louisiana","1 wk ahead","Bin","percent","1.6","1.7",0
"Louisiana","1 wk ahead","Bin","percent","1.7","1.8",0
"Louisiana","1 wk ahead","Bin","percent","1.8","1.9",0
"Louisiana","1 wk ahead","Bin","percent","1.9","2.0",0
"Louisiana","1 wk ahead","Bin","percent","2.0","2.1",0
"Louisiana","1 wk ahead","Bin","percent","2.1","2.2",0
"Louisiana","1 wk ahead","Bin","percent","2.2","2.3",0
"Louisiana","1 wk ahead","Bin","percent","2.3","2.4",0
"Louisiana","1 wk ahead","Bin","percent","2.4","2.5",0
"Louisiana","1 wk ahead","Bin","percent","2.5","2.6",0
"Louisiana","1 wk ahead","Bin","percent","2.6","2.7",0
"Louisiana","1 wk ahead","Bin","percent","2.7","2.8",0
"Louisiana","1 wk ahead","Bin","percent","2.8","2.9",0
"Louisiana","1 wk ahead","Bin","percent","2.9","3.0",0
"Louisiana","1 wk ahead","Bin","percent","3.0","3.1",0
"Louisiana","1 wk ahead","Bin","percent","3.1","3.2",0
"Louisiana","1 wk ahead","Bin","percent","3.2","3.3",0
"Louisiana","1 wk ahead","Bin","percent","3.3","3.4",0
"Louisiana","1 wk ahead","Bin","percent","3.4","3.5",0
"Louisiana","1 wk ahead","Bin","percent","3.5","3.6",0
"Louisiana","1 wk ahead","Bin","percent","3.6","3.7",0
"Louisiana","1 wk ahead","Bin","percent","3.7","3.8",0
"Louisiana","1 wk ahead","Bin","percent","3.8","3.9",0
"Louisiana","1 wk ahead","Bin","percent","3.9","4.0",0
"Louisiana","1 wk ahead","Bin","percent","4.0","4.1",0
"Louisiana","1 wk ahead","Bin","percent","4.1","4.2",0
"Louisiana","1 wk ahead","Bin","percent","4.2","4.3",0
"Louisiana","1 wk ahead","Bin","percent","4.3","4.4",0
"Louisiana","1 wk ahead","Bin","percent","4.4","4.5",0
"Louisiana","1 wk ahead","Bin","percent","4.5","4.6",0
"Louisiana","1 wk ahead","Bin","percent","4.6","4.7",0
"Louisiana","1 wk ahead","Bin","percent","4.7","4.8",0
"Louisiana","1 wk ahead","Bin","percent","4.8","4.9",0
"Louisiana","1 wk ahead","Bin","percent","4.9","5.0",0
"Louisiana","1 wk ahead","Bin","percent","5.0","5.1",0
"Louisiana","1 wk ahead","Bin","percent","5.1","5.2",1e-04
"Louisiana","1 wk ahead","Bin","percent","5.2","5.3",1e-04
"Louisiana","1 wk ahead","Bin","percent","5.3","5.4",7e-04
"Louisiana","1 wk ahead","Bin","percent","5.4","5.5",0.0014
"Louisiana","1 wk ahead","Bin","percent","5.5","5.6",0.0023
"Louisiana","1 wk ahead","Bin","percent","5.6","5.7",0.0044
"Louisiana","1 wk ahead","Bin","percent","5.7","5.8",0.0089
"Louisiana","1 wk ahead","Bin","percent","5.8","5.9",0.0159
"Louisiana","1 wk ahead","Bin","percent","5.9","6.0",0.0249
"Louisiana","1 wk ahead","Bin","percent","6.0","6.1",0.0349
"Louisiana","1 wk ahead","Bin","percent","6.1","6.2",0.0436
"Louisiana","1 wk ahead","Bin","percent","6.2","6.3",0.0603
"Louisiana","1 wk ahead","Bin","percent","6.3","6.4",0.0685
"Louisiana","1 wk ahead","Bin","percent","6.4","6.5",0.0676
"Louisiana","1 wk ahead","Bin","percent","6.5","6.6",0.0682
"Louisiana","1 wk ahead","Bin","percent","6.6","6.7",0.0693
"Louisiana","1 wk ahead","Bin","percent","6.7","6.8",0.0565
"Louisiana","1 wk ahead","Bin","percent","6.8","6.9",0.0484
"Louisiana","1 wk ahead","Bin","percent","6.9","7.0",0.0411
"Louisiana","1 wk ahead","Bin","percent","7.0","7.1",0
"Louisiana","1 wk ahead","Bin","percent","7.1","7.2",0.0311
"Louisiana","1 wk ahead","Bin","percent","7.2","7.3",0.0261
"Louisiana","1 wk ahead","Bin","percent","7.3","7.4",0.0208
"Louisiana","1 wk ahead","Bin","percent","7.4","7.5",0.0179
"Louisiana","1 wk ahead","Bin","percent","7.5","7.6",0.0158
"Louisiana","1 wk ahead","Bin","percent","7.6","7.7",0.0134
"Louisiana","1 wk ahead","Bin","percent","7.7","7.8",0.0161
"Louisiana","1 wk ahead","Bin","percent","7.8","7.9",0.0151
"Louisiana","1 wk ahead","Bin","percent","7.9","8.0",0.0193
"Louisiana","1 wk ahead","Bin","percent","8.0","8.1",0.018
"Louisiana","1 wk ahead","Bin","percent","8.1","8.2",0.0199
"Louisiana","1 wk ahead","Bin","percent","8.2","8.3",0.0217
"Louisiana","1 wk ahead","Bin","percent","8.3","8.4",0.0223
"Louisiana","1 wk ahead","Bin","percent","8.4","8.5",0.0172
"Louisiana","1 wk ahead","Bin","percent","8.5","8.6",0.0208
"Louisiana","1 wk ahead","Bin","percent","8.6","8.7",0.0195
"Louisiana","1 wk ahead","Bin","percent","8.7","8.8",0.0172
"Louisiana","1 wk ahead","Bin","percent","8.8","8.9",0.0119
"Louisiana","1 wk ahead","Bin","percent","8.9","9.0",0.012
"Louisiana","1 wk ahead","Bin","percent","9.0","9.1",0.0096
"Louisiana","1 wk ahead","Bin","percent","9.1","9.2",0.0069
"Louisiana","1 wk ahead","Bin","percent","9.2","9.3",0.0043
"Louisiana","1 wk ahead","Bin","percent","9.3","9.4",0.003
"Louisiana","1 wk ahead","Bin","percent","9.4","9.5",0.0013
"Louisiana","1 wk ahead","Bin","percent","9.5","9.6",0.001
"Louisiana","1 wk ahead","Bin","percent","9.6","9.7",2e-04
"Louisiana","1 wk ahead","Bin","percent","9.7","9.8",2e-04
"Louisiana","1 wk ahead","Bin","percent","9.8","9.9",2e-04
"Louisiana","1 wk ahead","Bin","percent","9.9","10.0",0
"Louisiana","1 wk ahead","Bin","percent","10.0","10.1",1e-04
"Louisiana","1 wk ahead","Bin","percent","10.1","10.2",0
"Louisiana","1 wk ahead","Bin","percent","10.2","10.3",0
"Louisiana","1 wk ahead","Bin","percent","10.3","10.4",0
"Louisiana","1 wk ahead","Bin","percent","10.4","10.5",0
"Louisiana","1 wk ahead","Bin","percent","10.5","10.6",0
"Louisiana","1 wk ahead","Bin","percent","10.6","10.7",0
"Louisiana","1 wk ahead","Bin","percent","10.7","10.8",0
"Louisiana","1 wk ahead","Bin","percent","10.8","10.9",0
"Louisiana","1 wk ahead","Bin","percent","10.9","11.0",0
"Louisiana","1 wk ahead","Bin","percent","11.0","11.1",0
"Louisiana","1 wk ahead","Bin","percent","11.1","11.2",0
"Louisiana","1 wk ahead","Bin","percent","11.2","11.3",0
"Louisiana","1 wk ahead","Bin","percent","11.3","11.4",0
"Louisiana","1 wk ahead","Bin","percent","11.4","11.5",0
"Louisiana","1 wk ahead","Bin","percent","11.5","11.6",0
"Louisiana","1 wk ahead","Bin","percent","11.6","11.7",0
"Louisiana","1 wk ahead","Bin","percent","11.7","11.8",0
"Louisiana","1 wk ahead","Bin","percent","11.8","11.9",0
"Louisiana","1 wk ahead","Bin","percent","11.9","12.0",0
"Louisiana","1 wk ahead","Bin","percent","12.0","12.1",0
"Louisiana","1 wk ahead","Bin","percent","12.1","12.2",0
"Louisiana","1 wk ahead","Bin","percent","12.2","12.3",0
"Louisiana","1 wk ahead","Bin","percent","12.3","12.4",0
"Louisiana","1 wk ahead","Bin","percent","12.4","12.5",0
"Louisiana","1 wk ahead","Bin","percent","12.5","12.6",0
"Louisiana","1 wk ahead","Bin","percent","12.6","12.7",0
"Louisiana","1 wk ahead","Bin","percent","12.7","12.8",0
"Louisiana","1 wk ahead","Bin","percent","12.8","12.9",0
"Louisiana","1 wk ahead","Bin","percent","12.9","13.0",0
"Louisiana","1 wk ahead","Bin","percent","13.0","100.0",0
"Louisiana","2 wk ahead","Point","percent",NA,NA,6.1
"Louisiana","2 wk ahead","Bin","percent","0.0","0.1",0
"Louisiana","2 wk ahead","Bin","percent","0.1","0.2",0
"Louisiana","2 wk ahead","Bin","percent","0.2","0.3",0
"Louisiana","2 wk ahead","Bin","percent","0.3","0.4",0
"Louisiana","2 wk ahead","Bin","percent","0.4","0.5",0
"Louisiana","2 wk ahead","Bin","percent","0.5","0.6",0
"Louisiana","2 wk ahead","Bin","percent","0.6","0.7",0
"Louisiana","2 wk ahead","Bin","percent","0.7","0.8",0
"Louisiana","2 wk ahead","Bin","percent","0.8","0.9",0
"Louisiana","2 wk ahead","Bin","percent","0.9","1.0",0
"Louisiana","2 wk ahead","Bin","percent","1.0","1.1",0
"Louisiana","2 wk ahead","Bin","percent","1.1","1.2",0
"Louisiana","2 wk ahead","Bin","percent","1.2","1.3",0
"Louisiana","2 wk ahead","Bin","percent","1.3","1.4",0
"Louisiana","2 wk ahead","Bin","percent","1.4","1.5",0
"Louisiana","2 wk ahead","Bin","percent","1.5","1.6",0
"Louisiana","2 wk ahead","Bin","percent","1.6","1.7",0
"Louisiana","2 wk ahead","Bin","percent","1.7","1.8",0
"Louisiana","2 wk ahead","Bin","percent","1.8","1.9",0
"Louisiana","2 wk ahead","Bin","percent","1.9","2.0",0
"Louisiana","2 wk ahead","Bin","percent","2.0","2.1",0
"Louisiana","2 wk ahead","Bin","percent","2.1","2.2",0
"Louisiana","2 wk ahead","Bin","percent","2.2","2.3",0
"Louisiana","2 wk ahead","Bin","percent","2.3","2.4",0
"Louisiana","2 wk ahead","Bin","percent","2.4","2.5",0
"Louisiana","2 wk ahead","Bin","percent","2.5","2.6",0
"Louisiana","2 wk ahead","Bin","percent","2.6","2.7",0
"Louisiana","2 wk ahead","Bin","percent","2.7","2.8",0
"Louisiana","2 wk ahead","Bin","percent","2.8","2.9",0
"Louisiana","2 wk ahead","Bin","percent","2.9","3.0",0
"Louisiana","2 wk ahead","Bin","percent","3.0","3.1",0
"Louisiana","2 wk ahead","Bin","percent","3.1","3.2",0
"Louisiana","2 wk ahead","Bin","percent","3.2","3.3",0
"Louisiana","2 wk ahead","Bin","percent","3.3","3.4",0
"Louisiana","2 wk ahead","Bin","percent","3.4","3.5",0
"Louisiana","2 wk ahead","Bin","percent","3.5","3.6",0
"Louisiana","2 wk ahead","Bin","percent","3.6","3.7",0
"Louisiana","2 wk ahead","Bin","percent","3.7","3.8",0
"Louisiana","2 wk ahead","Bin","percent","3.8","3.9",0
"Louisiana","2 wk ahead","Bin","percent","3.9","4.0",0
"Louisiana","2 wk ahead","Bin","percent","4.0","4.1",0
"Louisiana","2 wk ahead","Bin","percent","4.1","4.2",0
"Louisiana","2 wk ahead","Bin","percent","4.2","4.3",0
"Louisiana","2 wk ahead","Bin","percent","4.3","4.4",0
"Louisiana","2 wk ahead","Bin","percent","4.4","4.5",0
"Louisiana","2 wk ahead","Bin","percent","4.5","4.6",0
"Louisiana","2 wk ahead","Bin","percent","4.6","4.7",0
"Louisiana","2 wk ahead","Bin","percent","4.7","4.8",0
"Louisiana","2 wk ahead","Bin","percent","4.8","4.9",0
"Louisiana","2 wk ahead","Bin","percent","4.9","5.0",0
"Louisiana","2 wk ahead","Bin","percent","5.0","5.1",0
"Louisiana","2 wk ahead","Bin","percent","5.1","5.2",1e-04
"Louisiana","2 wk ahead","Bin","percent","5.2","5.3",6e-04
"Louisiana","2 wk ahead","Bin","percent","5.3","5.4",0.0019
"Louisiana","2 wk ahead","Bin","percent","5.4","5.5",0.0047
"Louisiana","2 wk ahead","Bin","percent","5.5","5.6",0.0142
"Louisiana","2 wk ahead","Bin","percent","5.6","5.7",0.0313
"Louisiana","2 wk ahead","Bin","percent","5.7","5.8",0.0533
"Louisiana","2 wk ahead","Bin","percent","5.8","5.9",0.0848
"Louisiana","2 wk ahead","Bin","percent","5.9","6.0",0.1001
"Louisiana","2 wk ahead","Bin","percent","6.0","6.1",0.1087
"Louisiana","2 wk ahead","Bin","percent","6.1","6.2",0.1022
"Louisiana","2 wk ahead","Bin","percent","6.2","6.3",0.078
"Louisiana","2 wk ahead","Bin","percent","6.3","6.4",0.0532
"Louisiana","2 wk ahead","Bin","percent","6.4","6.5",0.0365
"Louisiana","2 wk ahead","Bin","percent","6.5","6.6",0.0239
"Louisiana","2 wk ahead","Bin","percent","6.6","6.7",0.0187
"Louisiana","2 wk ahead","Bin","percent","6.7","6.8",0.0149
"Louisiana","2 wk ahead","Bin","percent","6.8","6.9",0.0164
"Louisiana","2 wk ahead","Bin","percent","6.9","7.0",0.0159
"Louisiana","2 wk ahead","Bin","percent","7.0","7.1",0
"Louisiana","2 wk ahead","Bin","percent","7.1","7.2",0.0152
"Louisiana","2 wk ahead","Bin","percent","7.2","7.3",0.0186
"Louisiana","2 wk ahead","Bin","percent","7.3","7.4",0.0205
"Louisiana","2 wk ahead","Bin","percent","7.4","7.5",0.0195
"Louisiana","2 wk ahead","Bin","percent","7.5","7.6",0.0206
"Louisiana","2 wk ahead","Bin","percent","7.6","7.7",0.0186
"Louisiana","2 wk ahead","Bin","percent","7.7","7.8",0.0193
"Louisiana","2 wk ahead","Bin","percent","7.8","7.9",0.0204
"Louisiana","2 wk ahead","Bin","percent","7.9","8.0",0.0184
"Louisiana","2 wk ahead","Bin","percent","8.0","8.1",0.0159
"Louisiana","2 wk ahead","Bin","percent","8.1","8.2",0.0146
"Louisiana","2 wk ahead","Bin","percent","8.2","8.3",0.0115
"Louisiana","2 wk ahead","Bin","percent","8.3","8.4",0.0096
"Louisiana","2 wk ahead","Bin","percent","8.4","8.5",0.007
"Louisiana","2 wk ahead","Bin","percent","8.5","8.6",0.005
"Louisiana","2 wk ahead","Bin","percent","8.6","8.7",0.0023
"Louisiana","2 wk ahead","Bin","percent","8.7","8.8",0.0018
"Louisiana","2 wk ahead","Bin","percent","8.8","8.9",0.0011
"Louisiana","2 wk ahead","Bin","percent","8.9","9.0",4e-04
"Louisiana","2 wk ahead","Bin","percent","9.0","9.1",2e-04
"Louisiana","2 wk ahead","Bin","percent","9.1","9.2",1e-04
"Louisiana","2 wk ahead","Bin","percent","9.2","9.3",0
"Louisiana","2 wk ahead","Bin","percent","9.3","9.4",0
"Louisiana","2 wk ahead","Bin","percent","9.4","9.5",0
"Louisiana","2 wk ahead","Bin","percent","9.5","9.6",0
"Louisiana","2 wk ahead","Bin","percent","9.6","9.7",0
"Louisiana","2 wk ahead","Bin","percent","9.7","9.8",0
"Louisiana","2 wk ahead","Bin","percent","9.8","9.9",0
"Louisiana","2 wk ahead","Bin","percent","9.9","10.0",0
"Louisiana","2 wk ahead","Bin","percent","10.0","10.1",0
"Louisiana","2 wk ahead","Bin","percent","10.1","10.2",0
"Louisiana","2 wk ahead","Bin","percent","10.2","10.3",0
"Louisiana","2 wk ahead","Bin","percent","10.3","10.4",0
"Louisiana","2 wk ahead","Bin","percent","10.4","10.5",0
"Louisiana","2 wk ahead","Bin","percent","10.5","10.6",0
"Louisiana","2 wk ahead","Bin","percent","10.6","10.7",0
"Louisiana","2 wk ahead","Bin","percent","10.7","10.8",0
"Louisiana","2 wk ahead","Bin","percent","10.8","10.9",0
"Louisiana","2 wk ahead","Bin","percent","10.9","11.0",0
"Louisiana","2 wk ahead","Bin","percent","11.0","11.1",0
"Louisiana","2 wk ahead","Bin","percent","11.1","11.2",0
"Louisiana","2 wk ahead","Bin","percent","11.2","11.3",0
"Louisiana","2 wk ahead","Bin","percent","11.3","11.4",0
"Louisiana","2 wk ahead","Bin","percent","11.4","11.5",0
"Louisiana","2 wk ahead","Bin","percent","11.5","11.6",0
"Louisiana","2 wk ahead","Bin","percent","11.6","11.7",0
"Louisiana","2 wk ahead","Bin","percent","11.7","11.8",0
"Louisiana","2 wk ahead","Bin","percent","11.8","11.9",0
